gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
199554,2012-12-31,12,CNC,1071739,Centene Corporation,1.859,8667.612,,278.691,2741.682,1787.915,953.056
199554,2013-12-31,12,CNC,1071739,Centene Corporation,165.099,10863.329,,382.526,3529.3,2285.861,1234.041
199554,2014-12-31,12,CNC,1071739,Centene Corporation,271.0,16560.0,,1223.0,5838.0,3947.0,1744.0
199554,2015-12-31,12,CNC,1071739,Centene Corporation,355.0,22760.0,,658.0,7339.0,5015.0,2157.0
199554,2016-12-31,12,CNC,1071739,Centene Corporation,562.0,40607.0,1864.0,1851.0,20197.0,14143.0,5895.0
199554,2017-12-31,12,CNC,1071739,Centene Corporation,828.0,48382.0,1847.0,1489.0,21855.0,14979.0,6850.0
199554,2018-12-31,12,CNC,1071739,Centene Corporation,900.0,56435.0,2386.0,1234.0,30901.0,19878.0,10917.0
199554,2019-12-31,12,CNC,1071739,Centene Corporation,1321.0,74639.0,2465.0,1483.0,40994.0,28302.0,12551.0
