gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
231315,2012-12-31,12,BAX,10456,Baxter International Inc.,2326.0,14190.0,6889.0,3106.0,20390.0,13452.0,6938.0
231315,2013-12-31,12,BAX,10456,Baxter International Inc.,2012.0,15259.0,7664.0,3198.0,25869.0,17406.0,8463.0
231315,2014-12-31,12,BAX,10456,Baxter International Inc.,2497.0,16671.0,8514.0,3215.0,25917.0,17797.0,8120.0
231315,2015-12-31,12,BAX,10456,Baxter International Inc.,968.0,9968.0,5822.0,1647.0,20975.0,12129.0,8846.0
231315,2016-12-31,12,BAX,10456,Baxter International Inc.,4965.0,10163.0,6053.0,1654.0,15546.0,7256.0,8290.0
231315,2017-12-31,12,BAX,10456,Baxter International Inc.,717.0,10561.0,6099.0,1837.0,17111.0,7995.0,9124.0
231315,2018-12-31,12,BAX,10456,Baxter International Inc.,1624.0,11127.0,6346.0,2096.0,15641.0,7825.0,7794.0
231315,2019-12-31,12,BAX,10456,Baxter International Inc.,1001.0,11362.0,6601.0,2104.0,18193.0,10281.0,7882.0
