gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
836362,2012-12-31,12,AMT,1053507,American Tower Corp.,637.283,2875.96,,1414.391,14089.129,10404.948,3573.101
836362,2013-12-31,12,AMT,1053507,American Tower Corp.,551.333,3361.407,,,20272.571,16682.531,3534.165
836362,2014-12-31,12,AMT,1053507,American Tower Corp.,824.91,4100.048,,,21331.545,17278.193,3953.56
836362,2015-12-31,12,AMT,1053507,American Tower Corp.,685.074,4771.516,,,26904.272,20191.454,6651.679
836362,2016-12-31,12,AMT,1053507,American Tower Corp.,956.425,5785.668,,2701.7,30879.15,22811.73,6763.895
836362,2017-12-31,12,AMT,1053507,American Tower Corp.,1238.9,6663.9,34.6,2925.6,33214.3,25260.0,6241.5
836362,2018-12-31,12,AMT,1053507,American Tower Corp.,1236.4,7440.1,49.1,3748.3,33010.4,26106.0,5336.1
836362,2019-12-31,12,AMT,1053507,American Tower Corp.,1887.8,7580.3,43.1,3752.6,42801.6,36214.7,5055.4
