gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
99335,2012-12-31,12,PSX,1534701,Phillips 66,4124.0,179460.0,,4296.0,48073.0,27267.0,20775.0
99335,2013-12-31,12,PSX,1534701,Phillips 66,3726.0,171596.0,,6027.0,49798.0,27406.0,21950.0
99335,2014-12-31,12,PSX,1534701,Phillips 66,4762.0,161212.0,,3529.0,48741.0,26704.0,21590.0
99335,2015-12-31,12,PSX,1534701,Phillips 66,4227.0,98975.0,,5713.0,48580.0,24642.0,23100.0
99335,2016-12-31,12,PSX,1534701,Phillips 66,1555.0,84279.0,62468.0,2963.0,51653.0,27928.0,22390.0
99335,2017-12-31,12,PSX,1534701,Phillips 66,5106.0,102354.0,79409.0,3648.0,54371.0,26943.0,25085.0
99335,2018-12-31,12,PSX,1534701,Phillips 66,5595.0,111461.0,97930.0,7573.0,54302.0,27149.0,24653.0
99335,2019-12-31,12,PSX,1534701,Phillips 66,3076.0,107293.0,95529.0,4808.0,58720.0,31551.0,24910.0
