gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
140057,2012-12-31,12,FRT,34903,Federal Realty Investment Trust,151.925,608.018,,296.633,3898.565,2493.552,1286.812
140057,2013-12-31,12,FRT,34903,Federal Realty Investment Trust,162.681,637.413,,314.498,4219.294,2643.572,1448.16
140057,2014-12-31,12,FRT,34903,Federal Realty Investment Trust,164.535,686.09,,346.13,4546.87,2735.261,1604.401
140057,2015-12-31,12,FRT,34903,Federal Realty Investment Trust,210.219,744.012,,359.835,4911.709,2992.462,1663.749
140057,2016-12-31,12,FRT,34903,Federal Realty Investment Trust,249.91,801.591,,419.254,5423.279,3203.75,1976.733
140057,2017-12-31,12,FRT,34903,Federal Realty Investment Trust,289.914,857.348,,459.177,6275.755,3743.084,2266.706
140057,2018-12-31,12,FRT,34903,Federal Realty Investment Trust,241.907,915.436,,516.688,6289.644,3686.106,2345.891
140057,2019-12-31,12,FRT,34903,Federal Realty Investment Trust,353.866,935.788,,461.919,6794.992,4019.102,2535.341
