gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
629510,2012-12-31,12,CMS,811156,CMS Energy,382.0,6253.0,,1241.0,17131.0,13937.0,3194.0
629510,2013-12-31,12,CMS,811156,CMS Energy,452.0,6566.0,,1421.0,17416.0,13962.0,3454.0
629510,2014-12-31,12,CMS,811156,CMS Energy,477.0,7179.0,,,19185.0,15515.0,3670.0
629510,2015-12-31,12,CMS,811156,CMS Energy,523.0,6456.0,,1640.0,20340.0,16402.0,3938.0
629510,2016-12-31,12,CMS,811156,CMS Energy,551.0,6399.0,,1629.0,21622.0,17369.0,4253.0
629510,2017-12-31,12,CMS,811156,CMS Energy,460.0,6583.0,,1705.0,23050.0,18609.0,4441.0
629510,2018-12-31,12,CMS,811156,CMS Energy,657.0,6502.0,,1703.0,24529.0,19774.0,4755.0
629510,2019-12-31,12,CMS,811156,CMS Energy,680.0,6845.0,,1790.0,26837.0,21819.0,5018.0
