gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
761020,2012-12-31,12,RE,1095073,Everest Re Group Ltd.,828.954,4922.81,,663.914,19777.907,13044.44,6733.467
761020,2013-12-31,12,RE,1095073,Everest Re Group Ltd.,1259.382,5640.836,,,19808.036,12746.382,6968.276
761020,2014-12-31,12,RE,1095073,Everest Re Group Ltd.,1199.156,5790.589,,,20817.824,12945.152,7451.12
761020,2015-12-31,12,RE,1095073,Everest Re Group Ltd.,977.869,5837.889,,1108.235,21426.175,13060.729,7608.585
761020,2016-12-31,12,RE,1095073,Everest Re Group Ltd.,996.344,5794.346,,1383.6,21321.504,13246.108,8075.396
761020,2017-12-31,12,RE,1095073,Everest Re Group Ltd.,258.952,6608.071,,1162.693,23591.792,15222.56,8369.232
761020,2018-12-31,12,RE,1095073,Everest Re Group Ltd.,-111.49,7377.206,,610.069,24793.999,16890.195,7903.804
761020,2019-12-31,12,RE,1095073,Everest Re Group Ltd.,1009.461,8231.169,,1852.002,27324.051,18191.126,9132.925
