gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
971272,2012-12-31,12,VRSN,1014473,Verisign Inc.,320.032,873.592,167.6,537.63,2062.476,2071.799,-9.323
971272,2013-12-31,12,VRSN,1014473,Verisign Inc.,544.45,965.087,187.013,579.397,2660.767,3084.325,-423.558
971272,2014-12-31,12,VRSN,1014473,Verisign Inc.,355.26,1010.117,188.425,600.949,2154.859,3038.325,-883.466
971272,2015-12-31,12,VRSN,1014473,Verisign Inc.,375.236,1059.366,192.788,651.482,2357.737,3428.184,-1070.447
971272,2016-12-31,12,VRSN,1014473,Verisign Inc.,440.645,1142.167,198.242,667.949,2334.572,3535.167,-1200.595
971272,2017-12-31,12,VRSN,1014473,Verisign Inc.,457.248,1165.095,193.326,702.761,2941.188,4201.459,-1260.271
971272,2018-12-31,12,VRSN,1014473,Verisign Inc.,582.489,1214.969,192.134,697.767,1914.504,3299.978,-1385.474
971272,2019-12-31,12,VRSN,1014473,Verisign Inc.,612.299,1231.661,180.467,753.892,1854.009,3344.109,-1490.1
