gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
598230,2012-12-31,12,BKNG,1075531,Booking Holdings Inc,1419.566,5260.956,1177.275,,6569.742,2457.825,3896.975
598230,2013-12-31,12,BKNG,1075531,Booking Holdings Inc,1892.663,6793.306,1077.42,,10444.46,3526.198,6909.729
598230,2014-12-31,12,BKNG,1075531,Booking Holdings Inc,2421.753,8441.971,857.841,,14940.563,6373.54,8566.694
598230,2015-12-31,12,BKNG,1075531,Booking Holdings Inc,2551.36,9223.987,632.18,,17420.575,8625.106,8795.469
598230,2016-12-31,12,BKNG,1075531,Booking Holdings Inc,2134.987,10743.006,428.314,3984.0,19838.973,9990.293,9820.142
598230,2017-12-31,12,BKNG,1075531,Booking Holdings Inc,2340.765,12681.082,250.537,4662.0,25451.263,14187.702,11260.598
598230,2018-12-31,12,BKNG,1075531,Booking Holdings Inc,3998.0,14527.0,,5338.0,22687.0,13902.0,8785.0
598230,2019-12-31,12,BKNG,1075531,Booking Holdings Inc,4865.0,15066.0,,4865.0,21402.0,15469.0,5933.0
