gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
175931,2012-04-30,4,NTAP,1002047,NetApp,605.4,6233.2,1979.9,1462.6,9532.3,5176.1,4293.6
175931,2013-04-30,4,NTAP,1002047,NetApp,505.3,6332.4,1959.9,,11242.4,6524.9,4717.5
175931,2014-04-30,4,NTAP,1002047,NetApp,637.5,6325.1,1777.1,,9219.2,5432.7,3786.5
175931,2015-04-30,4,NTAP,1002047,NetApp,559.9,6122.7,1656.9,,9401.2,5987.1,3414.1
175931,2016-04-30,4,NTAP,1002047,NetApp,229.0,5546.0,1558.0,974.0,10037.0,7156.0,2881.0
175931,2017-04-30,4,NTAP,1002047,NetApp,509.0,5519.0,1614.0,986.0,9493.0,6713.0,2780.0
175931,2018-04-30,4,NTAP,1002047,NetApp,76.0,5911.0,1738.0,1478.0,9865.0,7798.0,2067.0
175931,2019-04-30,4,NTAP,1002047,NetApp,1169.0,6146.0,2201.0,1341.0,8741.0,7651.0,1090.0
