gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
640626,2012-12-31,12,EOG,821189,EOG Resources,570.279,11682.636,,5236.777,27336.578,14051.814,13284.764
640626,2013-12-31,12,EOG,821189,EOG Resources,2197.109,14487.118,,7329.414,30574.238,15155.779,15418.459
640626,2014-12-31,12,EOG,821189,EOG Resources,2915.487,18035.34,,8649.155,34762.687,17050.105,17712.582
640626,2015-12-31,12,EOG,821189,EOG Resources,-4524.515,8757.428,,3595.165,26975.244,14032.209,12943.035
640626,2016-12-31,12,EOG,821189,EOG Resources,-1096.686,7650.632,,2359.063,29459.433,15477.852,13981.581
640626,2017-12-31,12,EOG,821189,EOG Resources,2582.579,11208.32,,4265.336,29833.078,13549.805,16283.273
640626,2018-12-31,12,EOG,821189,EOG Resources,3419.04,17275.399,,7768.608,33934.474,14570.286,19364.188
640626,2019-12-31,12,EOG,821189,EOG Resources,2734.91,17379.973,,8163.18,37124.608,15483.892,21640.716
