gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
776039,2012-12-31,12,ROP,882835,Roper Technologies,483.36,2993.489,1321.772,677.852,7071.104,3383.378,3687.726
776039,2013-12-31,12,ROP,882835,Roper Technologies,538.293,3238.128,1355.2,802.553,8184.981,3971.931,4213.05
776039,2014-12-31,12,ROP,882835,Roper Technologies,646.033,3549.494,1447.595,840.441,8412.934,3657.574,4755.36
776039,2015-12-31,12,ROP,882835,Roper Technologies,696.067,3582.395,1417.749,,10168.365,4869.418,5298.947
776039,2016-12-31,12,ROP,882835,Roper Technologies,658.645,3789.925,1457.515,963.8,14324.927,8536.062,5788.865
776039,2017-12-31,12,ROP,882835,Roper Technologies,971.772,4607.471,1742.675,1234.5,14316.413,7452.849,6863.564
776039,2018-12-31,12,ROP,882835,Roper Technologies,944.4,5191.2,1911.7,1430.1,15249.5,7511.0,7738.5
776039,2019-12-31,12,ROP,882835,Roper Technologies,1767.9,5366.8,1939.7,1461.8,18108.9,8617.0,9491.9
