gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
967124,2012-12-31,12,PNC,713676,PNC Financial Services,2818.0,15512.0,,6827.0,305107.0,263342.0,39003.0
967124,2013-12-31,12,PNC,713676,PNC Financial Services,3953.0,16012.0,,,320296.0,276199.0,42408.0
967124,2014-12-31,12,PNC,713676,PNC Financial Services,4207.0,15375.0,,,345072.0,298998.0,44551.0
967124,2015-12-31,12,PNC,713676,PNC Financial Services,4143.0,15225.0,,,358493.0,312513.0,44710.0
967124,2016-12-31,12,PNC,713676,PNC Financial Services,3662.0,15162.0,,3500.0,366380.0,319526.0,45699.0
967124,2017-12-31,12,PNC,713676,PNC Financial Services,5053.0,16329.0,,5579.0,380768.0,333183.0,47513.0
967124,2018-12-31,12,PNC,713676,PNC Financial Services,5040.0,17132.0,,7840.0,382315.0,334545.0,47728.0
967124,2019-12-31,12,PNC,713676,PNC Financial Services,5418.0,17827.0,,7363.0,410295.0,360952.0,49314.0
