gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
580533,2012-10-31,10,SNPS,883241,Synopsys Inc.,181.898,1756.017,392.673,486.068,4147.656,1603.685,2501.686
580533,2013-10-31,10,SNPS,883241,Synopsys Inc.,247.8,1962.214,453.552,496.705,4358.935,1570.658,2788.277
580533,2014-10-31,10,SNPS,883241,Synopsys Inc.,259.124,2057.472,456.885,550.953,4775.499,1719.329,3056.17
580533,2015-10-31,10,SNPS,883241,Synopsys Inc.,225.934,2242.211,518.92,,5045.739,1911.75,3133.989
580533,2016-10-31,10,SNPS,883241,Synopsys Inc.,266.826,2422.532,542.962,,5240.365,2045.219,3195.146
580533,2017-10-31,10,SNPS,883241,Synopsys Inc.,136.563,2724.88,654.184,632.482,5396.414,2116.69,3275.62
580533,2018-10-31,10,SNPS,883241,Synopsys Inc.,432.518,3121.058,735.898,424.399,6145.974,2660.959,3479.152
580533,2019-10-31,10,SNPS,883241,Synopsys Inc.,532.367,3360.694,752.946,800.513,6405.16,2316.284,4083.013
