gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
800430,2012-12-31,12,ILMN,1110803,Illumina Inc,151.254,1148.516,374.988,291.873,2566.085,1247.504,1318.581
800430,2013-12-31,12,ILMN,1110803,Illumina Inc,125.308,1421.178,509.291,386.421,3019.006,1485.804,1533.202
800430,2014-12-31,12,ILMN,1110803,Illumina Inc,353.351,1861.358,431.92,501.271,3339.64,1876.842,1462.798
800430,2015-12-31,12,ILMN,1110803,Illumina Inc,461.559,2219.762,490.812,659.596,3687.747,1839.194,1848.553
800430,2016-12-31,12,ILMN,1110803,Illumina Inc,462.649,2398.373,534.199,687.238,4280.6,2083.371,2197.229
800430,2017-12-31,12,ILMN,1110803,Illumina Inc,726.0,2752.0,679.0,875.0,5257.0,2508.0,2749.0
800430,2018-12-31,12,ILMN,1110803,Illumina Inc,826.0,3333.0,1033.0,1142.0,6959.0,3201.0,3758.0
800430,2019-12-31,12,ILMN,1110803,Illumina Inc,1002.0,3543.0,1076.0,1051.0,7316.0,2703.0,4613.0
