gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
879935,2012-12-31,12,ORLY,898173,O'Reilly Automotive,585.746,6182.184,3084.766,1251.555,5749.187,3640.88,2108.307
879935,2013-12-31,12,ORLY,898173,O'Reilly Automotive,670.292,6649.237,3280.236,908.026,6067.208,4100.887,1966.321
879935,2014-12-31,12,ORLY,898173,O'Reilly Automotive,778.182,7216.081,3507.18,1190.43,6540.301,4521.883,2018.418
879935,2015-12-31,12,ORLY,898173,O'Reilly Automotive,931.216,7966.674,3804.031,1281.476,6676.684,4715.37,1961.314
879935,2016-12-31,12,ORLY,898173,O'Reilly Automotive,1037.691,8593.096,4084.085,1454.167,7204.189,5577.053,1627.136
879935,2017-12-31,12,ORLY,898173,O'Reilly Automotive,1133.804,8977.726,4257.043,1403.687,7571.885,6918.839,653.046
879935,2018-12-31,12,ORLY,898173,O'Reilly Automotive,1324.487,9536.428,4496.462,1727.555,7980.789,7627.122,353.667
879935,2019-12-31,12,ORLY,898173,O'Reilly Automotive,1391.042,10149.985,4755.294,1708.479,10717.16,10319.82,397.34
