gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
848540,2012-12-31,12,WMB,107263,Williams Cos.,859.0,7486.0,3496.0,1835.0,24327.0,19575.0,4752.0
848540,2013-12-31,12,WMB,107263,Williams Cos.,430.0,6860.0,,2217.0,27142.0,22278.0,4864.0
848540,2014-12-31,12,WMB,107263,Williams Cos.,2114.0,7637.0,,2115.0,50563.0,41786.0,8777.0
848540,2015-12-31,12,WMB,107263,Williams Cos.,-571.0,7360.0,,2678.0,49020.0,42872.0,6148.0
848540,2016-12-31,12,WMB,107263,Williams Cos.,-424.0,7499.0,,3664.0,46835.0,42192.0,4643.0
848540,2017-12-31,12,WMB,107263,Williams Cos.,2174.0,8031.0,,2556.0,46352.0,36696.0,9656.0
848540,2018-12-31,12,WMB,107263,Williams Cos.,-155.0,8604.0,,3293.0,45302.0,30642.0,14660.0
848540,2019-12-31,12,WMB,107263,Williams Cos.,850.0,8201.0,,3693.0,46040.0,32677.0,13363.0
