gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
574450,2012-12-31,12,ATVI,718877,Activision Blizzard,1149.0,4856.0,,,14200.0,2883.0,11317.0
574450,2013-12-31,12,ATVI,718877,Activision Blizzard,1010.0,4583.0,,,14012.0,7390.0,6622.0
574450,2014-12-31,12,ATVI,718877,Activision Blizzard,835.0,4408.0,,1331.0,14746.0,7513.0,7233.0
574450,2015-12-31,12,ATVI,718877,Activision Blizzard,892.0,4664.0,,1259.0,15251.0,7183.0,8068.0
574450,2016-12-31,12,ATVI,718877,Activision Blizzard,966.0,6608.0,,2155.0,17452.0,8333.0,9119.0
574450,2017-12-31,12,ATVI,718877,Activision Blizzard,273.0,7017.0,,2213.0,18668.0,9206.0,9462.0
574450,2018-12-31,12,ATVI,718877,Activision Blizzard,1813.0,7500.0,,1790.0,17835.0,6478.0,11357.0
574450,2019-12-31,12,ATVI,718877,Activision Blizzard,1503.0,6489.0,,1831.0,19845.0,7040.0,12805.0
