gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
75541,2012-12-31,12,LMT,936468,Lockheed Martin Corp.,2745.0,47182.0,42986.0,1561.0,38657.0,38618.0,39.0
75541,2013-12-31,12,LMT,936468,Lockheed Martin Corp.,2981.0,45358.0,41171.0,4546.0,36188.0,31270.0,4918.0
75541,2014-12-31,12,LMT,936468,Lockheed Martin Corp.,3614.0,45600.0,31965.0,3866.0,37073.0,33673.0,3400.0
75541,2015-12-31,12,LMT,936468,Lockheed Martin Corp.,3605.0,46132.0,32006.0,5101.0,49128.0,46031.0,3097.0
75541,2016-12-31,12,LMT,936468,Lockheed Martin Corp.,5302.0,47248.0,42186.0,5189.0,47806.0,46200.0,1511.0
75541,2017-12-31,12,LMT,936468,Lockheed Martin Corp.,2002.0,51048.0,45500.0,6476.0,46521.0,47130.0,-683.0
75541,2018-12-31,12,LMT,936468,Lockheed Martin Corp.,5046.0,53762.0,46488.0,3138.0,44876.0,43427.0,1394.0
75541,2019-12-31,12,LMT,936468,Lockheed Martin Corp.,6230.0,59812.0,51445.0,7311.0,47528.0,44357.0,3127.0
