gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
311676,2012-12-31,12,SRE,1032208,Sempra Energy,859.0,9647.0,,2018.0,36499.0,26217.0,10282.0
311676,2013-12-31,12,SRE,1032208,Sempra Energy,1001.0,10557.0,,1784.0,37244.0,26236.0,11008.0
311676,2014-12-31,12,SRE,1032208,Sempra Energy,1161.0,11035.0,,2161.0,39732.0,28406.0,11326.0
311676,2015-12-31,12,SRE,1032208,Sempra Energy,1349.0,10231.0,,2905.0,41150.0,29341.0,11809.0
311676,2016-12-31,12,SRE,1032208,Sempra Energy,1370.0,10183.0,,2319.0,47786.0,34835.0,12951.0
311676,2017-12-31,12,SRE,1032208,Sempra Energy,256.0,11207.0,,3625.0,50454.0,37784.0,12670.0
311676,2018-12-31,12,SRE,1032208,Sempra Energy,924.0,11027.0,,3447.0,60638.0,43500.0,17138.0
311676,2019-12-31,12,SRE,1032208,Sempra Energy,2362.0,10829.0,,3088.0,65665.0,45736.0,19929.0
