gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
546268,2012-08-31,8,MU,723125,Micron Technology,-1032.0,8234.0,7266.0,2114.0,14328.0,5911.0,7700.0
546268,2013-08-31,8,MU,723125,Micron Technology,1190.0,9073.0,7226.0,,19118.0,9112.0,9142.0
546268,2014-08-31,8,MU,723125,Micron Technology,3045.0,16358.0,10921.0,,22498.0,10868.0,10771.0
546268,2015-08-31,8,MU,723125,Micron Technology,2899.0,16192.0,10977.0,5208.0,24143.0,10855.0,12302.0
546268,2016-08-31,8,MU,723125,Micron Technology,-276.0,12399.0,9894.0,3168.0,27540.0,14612.0,12080.0
546268,2017-08-31,8,MU,723125,Micron Technology,5089.0,20322.0,11886.0,8153.0,35336.0,15845.0,18621.0
546268,2018-08-31,8,MU,723125,Micron Technology,14135.0,30391.0,12500.0,17400.0,43376.0,10112.0,32294.0
546268,2019-08-31,8,MU,723125,Micron Technology,6313.0,23406.0,12704.0,13189.0,48887.0,12019.0,35881.0
