gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
48958,2012-12-31,12,IDXX,874716,IDEXX Laboratories,178.267,1293.338,305.91,230.282,1103.602,467.345,636.223
48958,2013-12-31,12,IDXX,874716,IDEXX Laboratories,187.8,1377.058,318.685,245.996,1230.516,712.302,518.186
48958,2014-12-31,12,IDXX,874716,IDEXX Laboratories,181.906,1485.807,669.691,235.846,1384.211,1266.622,117.516
48958,2015-12-31,12,IDXX,874716,IDEXX Laboratories,192.078,1601.892,360.208,,1474.993,1558.988,-84.125
48958,2016-12-31,12,IDXX,874716,IDEXX Laboratories,222.045,1775.423,416.81,,1530.704,1638.917,-108.352
48958,2017-12-31,12,IDXX,874716,IDEXX Laboratories,263.144,1969.058,446.449,373.276,1713.416,1767.258,-54.106
48958,2018-12-31,12,IDXX,874716,IDEXX Laboratories,377.031,2213.242,971.7,400.084,1537.349,1546.582,-9.513
48958,2019-12-31,12,IDXX,874716,IDEXX Laboratories,427.72,2406.908,1041.359,459.158,1832.475,1654.65,177.473
