YR,PRD_DE,C1_NM,C2_NM,C3_NM,C4_NM,DT
2011,201101,기타지방,단독,단독,단독,1711
2011,201101,기타지방,단독,다가구,동수,630
2011,201101,기타지방,단독,다가구,가구수,5218
2011,201101,기타지방,다세대,다세대,다세대,316
2011,201101,기타지방,연립,연립,연립,211
2011,201101,기타지방,아파트,아파트,아파트,3711
2011,201101,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),295
2011,201101,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),464
2011,201101,강원,단독,단독,단독,193
2011,201101,강원,단독,다가구,동수,47
2011,201101,강원,단독,다가구,가구수,216
2011,201101,강원,다세대,다세대,다세대,19
2011,201101,강원,연립,연립,연립,36
2011,201101,강원,아파트,아파트,아파트,0
2011,201101,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1055
2011,201101,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1646
2011,201101,충북,단독,단독,단독,149
2011,201101,충북,단독,다가구,동수,79
2011,201101,충북,단독,다가구,가구수,670
2011,201101,충북,다세대,다세대,다세대,16
2011,201101,충북,연립,연립,연립,0
2011,201101,충북,아파트,아파트,아파트,811
2011,201101,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1888
2011,201101,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2596
2011,201101,충남,단독,단독,단독,247
2011,201101,충남,단독,다가구,동수,68
2011,201101,충남,단독,다가구,가구수,776
2011,201101,충남,다세대,다세대,다세대,36
2011,201101,충남,연립,연립,연립,35
2011,201101,충남,아파트,아파트,아파트,1502
2011,201101,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),272
2011,201101,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),962
2011,201101,전북,단독,단독,단독,144
2011,201101,전북,단독,다가구,동수,84
2011,201101,전북,단독,다가구,가구수,774
2011,201101,전북,다세대,다세대,다세대,30
2011,201101,전북,연립,연립,연립,0
2011,201101,전북,아파트,아파트,아파트,14
2011,201101,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),377
2011,201101,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),537
2011,201101,전남,단독,단독,단독,291
2011,201101,전남,단독,다가구,동수,31
2011,201101,전남,단독,다가구,가구수,191
2011,201101,전남,다세대,다세대,다세대,22
2011,201101,전남,연립,연립,연립,33
2011,201101,전남,아파트,아파트,아파트,0
2011,201101,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),718
2011,201101,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1816
2011,201101,경북,단독,단독,단독,330
2011,201101,경북,단독,다가구,동수,109
2011,201101,경북,단독,다가구,가구수,1207
2011,201101,경북,다세대,다세대,다세대,80
2011,201101,경북,연립,연립,연립,20
2011,201101,경북,아파트,아파트,아파트,179
2011,201101,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),865
2011,201101,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1955
2011,201101,경남,단독,단독,단독,296
2011,201101,경남,단독,다가구,동수,191
2011,201101,경남,단독,다가구,가구수,1281
2011,201101,경남,다세대,다세대,다세대,7
2011,201101,경남,연립,연립,연립,16
2011,201101,경남,아파트,아파트,아파트,355
2011,201101,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1109
2011,201101,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1191
2011,201101,제주,단독,단독,단독,61
2011,201101,제주,단독,다가구,동수,21
2011,201101,제주,단독,다가구,가구수,103
2011,201101,제주,다세대,다세대,다세대,106
2011,201101,제주,연립,연립,연립,71
2011,201101,제주,아파트,아파트,아파트,850
2011,201102,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),20061
2011,201102,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),25486
2011,201102,총계,단독,단독,단독,1430
2011,201102,총계,단독,다가구,동수,771
2011,201102,총계,단독,다가구,가구수,6196
2011,201102,총계,다세대,다세대,다세대,2322
2011,201102,총계,연립,연립,연립,212
2011,201102,총계,아파트,아파트,아파트,15326
2011,201102,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12418
2011,201102,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),13434
2011,201102,수도권소계,단독,단독,단독,337
2011,201102,수도권소계,단독,다가구,동수,200
2011,201102,수도권소계,단독,다가구,가구수,1216
2011,201102,수도권소계,다세대,다세대,다세대,1632
2011,201102,수도권소계,연립,연립,연립,130
2011,201102,수도권소계,아파트,아파트,아파트,10119
2011,201102,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4795
2011,201102,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),4981
2011,201102,서울,단독,단독,단독,72
2011,201102,서울,단독,다가구,동수,34
2011,201102,서울,단독,다가구,가구수,220
2011,201102,서울,다세대,다세대,다세대,761
2011,201102,서울,연립,연립,연립,80
2011,201102,서울,아파트,아파트,아파트,3848
2011,201102,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3317
2011,201102,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3366
2011,201102,인천,단독,단독,단독,34
2011,201102,인천,단독,다가구,동수,14
2011,201102,인천,단독,다가구,가구수,63
2011,201102,인천,다세대,다세대,다세대,329
2011,201102,인천,연립,연립,연립,34
2011,201102,인천,아파트,아파트,아파트,2906
2011,201102,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4306
2011,201102,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),5087
2011,201102,경기,단독,단독,단독,231
2011,201102,경기,단독,다가구,동수,152
2011,201102,경기,단독,다가구,가구수,933
2011,201102,경기,다세대,다세대,다세대,542
2011,201102,경기,연립,연립,연립,16
2011,201102,경기,아파트,아파트,아파트,3365
2011,201102,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7643
2011,201102,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),12052
2011,201102,지방소계,단독,단독,단독,1093
2011,201102,지방소계,단독,다가구,동수,571
2011,201102,지방소계,단독,다가구,가구수,4980
2011,201102,지방소계,다세대,다세대,다세대,690
2011,201102,지방소계,연립,연립,연립,82
2011,201102,지방소계,아파트,아파트,아파트,5207
2011,201102,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4119
2011,201102,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),5848
2011,201102,기타광역시,단독,단독,단독,260
2011,201102,기타광역시,단독,다가구,동수,202
2011,201102,기타광역시,단독,다가구,가구수,1931
2011,201102,기타광역시,다세대,다세대,다세대,551
2011,201102,기타광역시,연립,연립,연립,0
2011,201102,기타광역시,아파트,아파트,아파트,3106
2011,201102,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1191
