YR,PRD_DE,C1_NM,C2_NM,C3_NM,C4_NM,DT
2018,201803,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),24413
2018,201803,경기,단독,단독,단독,875
2018,201803,경기,단독,다가구,동수,508
2018,201803,경기,단독,다가구,가구수,2874
2018,201803,경기,다세대,다세대,다세대,3846
2018,201803,경기,연립,연립,연립,409
2018,201803,경기,아파트,아파트,아파트,16409
2018,201803,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),23134
2018,201803,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),28974
2018,201803,지방소계,단독,단독,단독,3245
2018,201803,지방소계,단독,다가구,동수,968
2018,201803,지방소계,단독,다가구,가구수,6808
2018,201803,지방소계,다세대,다세대,다세대,635
2018,201803,지방소계,연립,연립,연립,554
2018,201803,지방소계,아파트,아파트,아파트,17732
2018,201803,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),5896
2018,201803,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),7655
2018,201803,기타광역시,단독,단독,단독,222
2018,201803,기타광역시,단독,다가구,동수,249
2018,201803,기타광역시,단독,다가구,가구수,2008
2018,201803,기타광역시,다세대,다세대,다세대,361
2018,201803,기타광역시,연립,연립,연립,46
2018,201803,기타광역시,아파트,아파트,아파트,5018
2018,201803,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2296
2018,201803,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2476
2018,201803,부산,단독,단독,단독,39
2018,201803,부산,단독,다가구,동수,27
2018,201803,부산,단독,다가구,가구수,207
2018,201803,부산,다세대,다세대,다세대,344
2018,201803,부산,연립,연립,연립,36
2018,201803,부산,아파트,아파트,아파트,1850
2018,201803,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2341
2018,201803,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2727
2018,201803,대구,단독,단독,단독,63
2018,201803,대구,단독,다가구,동수,72
2018,201803,대구,단독,다가구,가구수,458
2018,201803,대구,다세대,다세대,다세대,3
2018,201803,대구,아파트,아파트,아파트,2203
2018,201803,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),964
2018,201803,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1526
2018,201803,광주,단독,단독,단독,30
2018,201803,광주,단독,다가구,동수,53
2018,201803,광주,단독,다가구,가구수,615
2018,201803,광주,다세대,다세대,다세대,14
2018,201803,광주,연립,연립,연립,10
2018,201803,광주,아파트,아파트,아파트,857
2018,201803,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),217
2018,201803,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),718
2018,201803,대전,단독,단독,단독,39
2018,201803,대전,단독,다가구,동수,70
2018,201803,대전,단독,다가구,가구수,571
2018,201803,대전,아파트,아파트,아파트,108
2018,201803,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),78
2018,201803,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),208
2018,201803,울산,단독,단독,단독,51
2018,201803,울산,단독,다가구,동수,27
2018,201803,울산,단독,다가구,가구수,157
2018,201803,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),17238
2018,201803,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),21319
2018,201803,기타지방,단독,단독,단독,3023
2018,201803,기타지방,단독,다가구,동수,719
2018,201803,기타지방,단독,다가구,가구수,4800
2018,201803,기타지방,다세대,다세대,다세대,274
2018,201803,기타지방,연립,연립,연립,508
2018,201803,기타지방,아파트,아파트,아파트,12714
2018,201803,세종,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3990
2018,201803,세종,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3992
2018,201803,세종,단독,단독,단독,27
2018,201803,세종,단독,다가구,동수,2
2018,201803,세종,단독,다가구,가구수,4
2018,201803,세종,다세대,다세대,다세대,10
2018,201803,세종,아파트,아파트,아파트,3951
2018,201803,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1838
2018,201803,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2394
2018,201803,강원,단독,단독,단독,408
2018,201803,강원,단독,다가구,동수,109
2018,201803,강원,단독,다가구,가구수,665
2018,201803,강원,다세대,다세대,다세대,32
2018,201803,강원,연립,연립,연립,14
2018,201803,강원,아파트,아파트,아파트,1275
2018,201803,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3601
2018,201803,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),4243
2018,201803,충북,단독,단독,단독,353
2018,201803,충북,단독,다가구,동수,94
2018,201803,충북,단독,다가구,가구수,736
2018,201803,충북,다세대,다세대,다세대,32
2018,201803,충북,연립,연립,연립,12
2018,201803,충북,아파트,아파트,아파트,3110
2018,201803,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1504
2018,201803,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2416
2018,201803,충남,단독,단독,단독,485
2018,201803,충남,단독,다가구,동수,87
2018,201803,충남,단독,다가구,가구수,999
2018,201803,충남,다세대,다세대,다세대,2
2018,201803,충남,연립,연립,연립,64
2018,201803,충남,아파트,아파트,아파트,866
2018,201803,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1199
2018,201803,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1714
2018,201803,전북,단독,단독,단독,239
2018,201803,전북,단독,다가구,동수,73
2018,201803,전북,단독,다가구,가구수,588
2018,201803,전북,다세대,다세대,다세대,15
2018,201803,전북,아파트,아파트,아파트,872
2018,201803,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),506
2018,201803,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),841
2018,201803,전남,단독,단독,단독,386
2018,201803,전남,단독,다가구,동수,64
2018,201803,전남,단독,다가구,가구수,399
2018,201803,전남,다세대,다세대,다세대,9
2018,201803,전남,연립,연립,연립,29
2018,201803,전남,아파트,아파트,아파트,18
2018,201803,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),646
2018,201803,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),985
2018,201803,경북,단독,단독,단독,459
2018,201803,경북,단독,다가구,동수,83
2018,201803,경북,단독,다가구,가구수,422
2018,201803,경북,연립,연립,연립,54
2018,201803,경북,아파트,아파트,아파트,50
2018,201803,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2321
2018,201803,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2798
2018,201803,경남,단독,단독,단독,448
2018,201803,경남,단독,다가구,동수,123
2018,201803,경남,단독,다가구,가구수,600
2018,201803,경남,다세대,다세대,다세대,15
2018,201803,경남,연립,연립,연립,32
2018,201803,경남,아파트,아파트,아파트,1703
2018,201803,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1633
2018,201803,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1936
2018,201803,제주,단독,단독,단독,218
2018,201803,제주,단독,다가구,동수,84
2018,201803,제주,단독,다가구,가구수,387
2018,201803,제주,다세대,다세대,다세대,159
2018,201803,제주,연립,연립,연립,303
2018,201803,제주,아파트,아파트,아파트,869
2018,201804,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),38873
2018,201804,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),46694
2018,201804,총계,단독,단독,단독,5209
2018,201804,총계,단독,다가구,동수,1499
2018,201804,총계,단독,다가구,가구수,9320
2018,201804,총계,다세대,다세대,다세대,5606
2018,201804,총계,연립,연립,연립,668
2018,201804,총계,아파트,아파트,아파트,25891
2018,201804,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),21327
2018,201804,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),24205
2018,201804,수도권소계,단독,단독,단독,1433
2018,201804,수도권소계,단독,다가구,동수,628
2018,201804,수도권소계,단독,다가구,가구수,3506
2018,201804,수도권소계,다세대,다세대,다세대,4886
2018,201804,수도권소계,연립,연립,연립,445
2018,201804,수도권소계,아파트,아파트,아파트,13935
2018,201804,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7734
2018,201804,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),8171
2018,201804,서울,단독,단독,단독,199
2018,201804,서울,단독,다가구,동수,114
2018,201804,서울,단독,다가구,가구수,551
2018,201804,서울,다세대,다세대,다세대,2525
2018,201804,서울,연립,연립,연립,16
2018,201804,서울,아파트,아파트,아파트,4880
2018,201804,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1165
2018,201804,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1260
2018,201804,인천,단독,단독,단독,147
2018,201804,인천,단독,다가구,동수,24
2018,201804,인천,단독,다가구,가구수,119
2018,201804,인천,다세대,다세대,다세대,145
2018,201804,인천,연립,연립,연립,54
2018,201804,인천,아파트,아파트,아파트,795
2018,201804,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12428
2018,201804,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),14774
2018,201804,경기,단독,단독,단독,1087
2018,201804,경기,단독,다가구,동수,490
2018,201804,경기,단독,다가구,가구수,2836
2018,201804,경기,다세대,다세대,다세대,2216
2018,201804,경기,연립,연립,연립,375
2018,201804,경기,아파트,아파트,아파트,8260
2018,201804,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),17546
2018,201804,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),22489
2018,201804,지방소계,단독,단독,단독,3776
2018,201804,지방소계,단독,다가구,동수,871
2018,201804,지방소계,단독,다가구,가구수,5814
2018,201804,지방소계,다세대,다세대,다세대,720
2018,201804,지방소계,연립,연립,연립,223
2018,201804,지방소계,아파트,아파트,아파트,11956
2018,201804,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),5283
2018,201804,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),6908
2018,201804,기타광역시,단독,단독,단독,274
2018,201804,기타광역시,단독,다가구,동수,236
2018,201804,기타광역시,단독,다가구,가구수,1861
2018,201804,기타광역시,다세대,다세대,다세대,430
2018,201804,기타광역시,연립,연립,연립,12
2018,201804,기타광역시,아파트,아파트,아파트,4331
2018,201804,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2498
2018,201804,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2609
2018,201804,부산,단독,단독,단독,57
2018,201804,부산,단독,다가구,동수,16
2018,201804,부산,단독,다가구,가구수,127
2018,201804,부산,다세대,다세대,다세대,410
2018,201804,부산,아파트,아파트,아파트,2015
2018,201804,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2137
2018,201804,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2487
2018,201804,대구,단독,단독,단독,69
2018,201804,대구,단독,다가구,동수,67
2018,201804,대구,단독,다가구,가구수,417
2018,201804,대구,연립,연립,연립,12
2018,201804,대구,아파트,아파트,아파트,1989
2018,201804,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),116
2018,201804,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),679
2018,201804,광주,단독,단독,단독,59
2018,201804,광주,단독,다가구,동수,57
2018,201804,광주,단독,다가구,가구수,620
2018,201804,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),399
2018,201804,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),927
2018,201804,대전,단독,단독,단독,36
2018,201804,대전,단독,다가구,동수,73
2018,201804,대전,단독,다가구,가구수,601
2018,201804,대전,다세대,다세대,다세대,20
2018,201804,대전,아파트,아파트,아파트,270
2018,201804,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),133
2018,201804,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),206
2018,201804,울산,단독,단독,단독,53
2018,201804,울산,단독,다가구,동수,23
2018,201804,울산,단독,다가구,가구수,96
2018,201804,울산,아파트,아파트,아파트,57
2018,201804,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12263
2018,201804,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),15581
2018,201804,기타지방,단독,단독,단독,3502
2018,201804,기타지방,단독,다가구,동수,635
2018,201804,기타지방,단독,다가구,가구수,3953
2018,201804,기타지방,다세대,다세대,다세대,290
2018,201804,기타지방,연립,연립,연립,211
2018,201804,기타지방,아파트,아파트,아파트,7625
2018,201804,세종,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),210
2018,201804,세종,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),210
2018,201804,세종,단독,단독,단독,40
2018,201804,세종,아파트,아파트,아파트,170
2018,201804,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),725
2018,201804,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1205
2018,201804,강원,단독,단독,단독,511
2018,201804,강원,단독,다가구,동수,101
2018,201804,강원,단독,다가구,가구수,581
2018,201804,강원,다세대,다세대,다세대,20
2018,201804,강원,연립,연립,연립,24
2018,201804,강원,아파트,아파트,아파트,69
2018,201804,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2485
2018,201804,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3068
2018,201804,충북,단독,단독,단독,512
2018,201804,충북,단독,다가구,동수,70
2018,201804,충북,단독,다가구,가구수,653
2018,201804,충북,다세대,다세대,다세대,32
2018,201804,충북,아파트,아파트,아파트,1871
2018,201804,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),974
2018,201804,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1686
2018,201804,충남,단독,단독,단독,468
2018,201804,충남,단독,다가구,동수,94
2018,201804,충남,단독,다가구,가구수,806
2018,201804,충남,다세대,다세대,다세대,57
2018,201804,충남,연립,연립,연립,28
2018,201804,충남,아파트,아파트,아파트,327
2018,201804,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1996
2018,201804,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2445
2018,201804,전북,단독,단독,단독,303
2018,201804,전북,단독,다가구,동수,61
2018,201804,전북,단독,다가구,가구수,510
2018,201804,전북,다세대,다세대,다세대,17
2018,201804,전북,아파트,아파트,아파트,1615
2018,201804,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2260
2018,201804,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2468
2018,201804,전남,단독,단독,단독,443
2018,201804,전남,단독,다가구,동수,43
2018,201804,전남,단독,다가구,가구수,251
2018,201804,전남,다세대,다세대,다세대,28
2018,201804,전남,연립,연립,연립,64
2018,201804,전남,아파트,아파트,아파트,1682
2018,201804,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),645
2018,201804,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),940
2018,201804,경북,단독,단독,단독,546
2018,201804,경북,단독,다가구,동수,67
2018,201804,경북,단독,다가구,가구수,362
2018,201804,경북,다세대,다세대,다세대,8
2018,201804,경북,아파트,아파트,아파트,24
2018,201804,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2487
2018,201804,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2868
2018,201804,경남,단독,단독,단독,495
2018,201804,경남,단독,다가구,동수,130
2018,201804,경남,단독,다가구,가구수,511
2018,201804,경남,다세대,다세대,다세대,46
2018,201804,경남,연립,연립,연립,8
2018,201804,경남,아파트,아파트,아파트,1808
2018,201804,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),481
2018,201804,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),691
2018,201804,제주,단독,단독,단독,184
2018,201804,제주,단독,다가구,동수,69
2018,201804,제주,단독,다가구,가구수,279
2018,201804,제주,다세대,다세대,다세대,82
2018,201804,제주,연립,연립,연립,87
2018,201804,제주,아파트,아파트,아파트,59
2018,201805,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),46330
2018,201805,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),54521
2018,201805,총계,단독,단독,단독,5109
2018,201805,총계,단독,다가구,동수,1456
2018,201805,총계,단독,다가구,가구수,9647
2018,201805,총계,다세대,다세대,다세대,5916
2018,201805,총계,연립,연립,연립,1746
2018,201805,총계,아파트,아파트,아파트,32103
2018,201805,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),23062
2018,201805,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),25408
2018,201805,수도권소계,단독,단독,단독,1256
2018,201805,수도권소계,단독,다가구,동수,495
2018,201805,수도권소계,단독,다가구,가구수,2841
2018,201805,수도권소계,다세대,다세대,다세대,5320
2018,201805,수도권소계,연립,연립,연립,905
2018,201805,수도권소계,아파트,아파트,아파트,15086
2018,201805,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),9166
2018,201805,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),9632
2018,201805,서울,단독,단독,단독,172
2018,201805,서울,단독,다가구,동수,105
2018,201805,서울,단독,다가구,가구수,571
2018,201805,서울,다세대,다세대,다세대,2566
2018,201805,서울,연립,연립,연립,137
2018,201805,서울,아파트,아파트,아파트,6186
2018,201805,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1694
2018,201805,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1761
2018,201805,인천,단독,단독,단독,104
2018,201805,인천,단독,다가구,동수,14
2018,201805,인천,단독,다가구,가구수,81
2018,201805,인천,다세대,다세대,다세대,283
2018,201805,인천,연립,연립,연립,198
2018,201805,인천,아파트,아파트,아파트,1095
2018,201805,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12202
2018,201805,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),14015
2018,201805,경기,단독,단독,단독,980
2018,201805,경기,단독,다가구,동수,376
2018,201805,경기,단독,다가구,가구수,2189
2018,201805,경기,다세대,다세대,다세대,2471
2018,201805,경기,연립,연립,연립,570
2018,201805,경기,아파트,아파트,아파트,7805
2018,201805,지방소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),23268
2018,201805,지방소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),29113
2018,201805,지방소계,단독,단독,단독,3853
2018,201805,지방소계,단독,다가구,동수,961
2018,201805,지방소계,단독,다가구,가구수,6806
2018,201805,지방소계,다세대,다세대,다세대,596
2018,201805,지방소계,연립,연립,연립,841
2018,201805,지방소계,아파트,아파트,아파트,17017
2018,201805,기타광역시,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7031
2018,201805,기타광역시,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),8583
2018,201805,기타광역시,단독,단독,단독,253
2018,201805,기타광역시,단독,다가구,동수,232
2018,201805,기타광역시,단독,다가구,가구수,1784
2018,201805,기타광역시,다세대,다세대,다세대,304
2018,201805,기타광역시,연립,연립,연립,47
2018,201805,기타광역시,아파트,아파트,아파트,6195
2018,201805,부산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),3590
2018,201805,부산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3768
2018,201805,부산,단독,단독,단독,35
2018,201805,부산,단독,다가구,동수,24
2018,201805,부산,단독,다가구,가구수,202
2018,201805,부산,다세대,다세대,다세대,267
2018,201805,부산,아파트,아파트,아파트,3264
2018,201805,대구,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2419
2018,201805,대구,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2740
2018,201805,대구,단독,단독,단독,71
2018,201805,대구,단독,다가구,동수,66
2018,201805,대구,단독,다가구,가구수,387
2018,201805,대구,다세대,다세대,다세대,12
2018,201805,대구,아파트,아파트,아파트,2270
2018,201805,광주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),484
2018,201805,광주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),974
2018,201805,광주,단독,단독,단독,27
2018,201805,광주,단독,다가구,동수,52
2018,201805,광주,단독,다가구,가구수,542
2018,201805,광주,연립,연립,연립,23
2018,201805,광주,아파트,아파트,아파트,382
2018,201805,대전,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),375
2018,201805,대전,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),854
2018,201805,대전,단독,단독,단독,47
2018,201805,대전,단독,다가구,동수,63
2018,201805,대전,단독,다가구,가구수,542
2018,201805,대전,다세대,다세대,다세대,11
2018,201805,대전,연립,연립,연립,24
2018,201805,대전,아파트,아파트,아파트,230
2018,201805,울산,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),163
2018,201805,울산,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),247
2018,201805,울산,단독,단독,단독,73
2018,201805,울산,단독,다가구,동수,27
2018,201805,울산,단독,다가구,가구수,111
2018,201805,울산,다세대,다세대,다세대,14
2018,201805,울산,아파트,아파트,아파트,49
2018,201805,기타지방,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),16237
2018,201805,기타지방,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),20530
2018,201805,기타지방,단독,단독,단독,3600
2018,201805,기타지방,단독,다가구,동수,729
2018,201805,기타지방,단독,다가구,가구수,5022
2018,201805,기타지방,다세대,다세대,다세대,292
2018,201805,기타지방,연립,연립,연립,794
2018,201805,기타지방,아파트,아파트,아파트,10822
2018,201805,세종,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),27
2018,201805,세종,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),30
2018,201805,세종,단독,단독,단독,25
2018,201805,세종,단독,다가구,동수,2
2018,201805,세종,단독,다가구,가구수,5
2018,201805,강원,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1496
2018,201805,강원,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2013
2018,201805,강원,단독,단독,단독,498
2018,201805,강원,단독,다가구,동수,115
2018,201805,강원,단독,다가구,가구수,632
2018,201805,강원,연립,연립,연립,24
2018,201805,강원,아파트,아파트,아파트,859
2018,201805,충북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2818
2018,201805,충북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3606
2018,201805,충북,단독,단독,단독,426
2018,201805,충북,단독,다가구,동수,79
2018,201805,충북,단독,다가구,가구수,867
2018,201805,충북,연립,연립,연립,48
2018,201805,충북,아파트,아파트,아파트,2265
2018,201805,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2893
2018,201805,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3699
2018,201805,충남,단독,단독,단독,482
2018,201805,충남,단독,다가구,동수,77
2018,201805,충남,단독,다가구,가구수,883
2018,201805,충남,다세대,다세대,다세대,61
2018,201805,충남,아파트,아파트,아파트,2273
2018,201805,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),825
2018,201805,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1336
2018,201805,전북,단독,단독,단독,363
2018,201805,전북,단독,다가구,동수,82
2018,201805,전북,단독,다가구,가구수,593
2018,201805,전북,다세대,다세대,다세대,56
2018,201805,전북,연립,연립,연립,101
2018,201805,전북,아파트,아파트,아파트,223
2018,201805,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2609
2018,201805,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3003
2018,201805,전남,단독,단독,단독,424
2018,201805,전남,단독,다가구,동수,68
2018,201805,전남,단독,다가구,가구수,462
2018,201805,전남,다세대,다세대,다세대,8
2018,201805,전남,연립,연립,연립,481
2018,201805,전남,아파트,아파트,아파트,1628
2018,201805,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),4184
2018,201805,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),4555
2018,201805,경북,단독,단독,단독,552
2018,201805,경북,단독,다가구,동수,97
2018,201805,경북,단독,다가구,가구수,468
2018,201805,경북,다세대,다세대,다세대,59
2018,201805,경북,연립,연립,연립,16
2018,201805,경북,아파트,아파트,아파트,3460
2018,201805,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),851
2018,201805,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1453
2018,201805,경남,단독,단독,단독,602
2018,201805,경남,단독,다가구,동수,129
2018,201805,경남,단독,다가구,가구수,731
2018,201805,경남,연립,연립,연립,44
2018,201805,경남,아파트,아파트,아파트,76
2018,201805,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),534
2018,201805,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),835
2018,201805,제주,단독,단독,단독,228
2018,201805,제주,단독,다가구,동수,80
2018,201805,제주,단독,다가구,가구수,381
2018,201805,제주,다세대,다세대,다세대,108
2018,201805,제주,연립,연립,연립,80
2018,201805,제주,아파트,아파트,아파트,38
2018,201806,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),39055
2018,201806,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),45985
2018,201806,총계,단독,단독,단독,4793
2018,201806,총계,단독,다가구,동수,1216
2018,201806,총계,단독,다가구,가구수,8146
2018,201806,총계,다세대,다세대,다세대,5327
2018,201806,총계,연립,연립,연립,750
2018,201806,총계,아파트,아파트,아파트,26969
2018,201806,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),20047
2018,201806,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),22333
2018,201806,수도권소계,단독,단독,단독,1243
2018,201806,수도권소계,단독,다가구,동수,488
2018,201806,수도권소계,단독,다가구,가구수,2774
2018,201806,수도권소계,다세대,다세대,다세대,4851
2018,201806,수도권소계,연립,연립,연립,270
2018,201806,수도권소계,아파트,아파트,아파트,13195
2018,201806,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),6772
2018,201806,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),7224
2018,201806,서울,단독,단독,단독,188
2018,201806,서울,단독,다가구,동수,111
2018,201806,서울,단독,다가구,가구수,563
2018,201806,서울,다세대,다세대,다세대,2489
2018,201806,서울,연립,연립,연립,85
2018,201806,서울,아파트,아파트,아파트,3899
2018,201806,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),695
2018,201806,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),772
2018,201806,인천,단독,단독,단독,145
2018,201806,인천,단독,다가구,동수,18
2018,201806,인천,단독,다가구,가구수,95
2018,201806,인천,다세대,다세대,다세대,293
2018,201806,인천,연립,연립,연립,39
2018,201806,인천,아파트,아파트,아파트,200
2018,201806,경기,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),12580
2018,201806,경기,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),14337
2018,201806,경기,단독,단독,단독,910
2018,201806,경기,단독,다가구,동수,359
2018,201806,경기,단독,다가구,가구수,2116
2018,201806,경기,다세대,다세대,다세대,2069
2018,201806,경기,연립,연립,연립,146
