월(Monthly),구  분,대분류,중분류,소분류,착공실적
2011-01,충북,다세대,다세대,다세대,8
2011-01,충북,연립,연립,연립,0
2011-01,충북,아파트,아파트,아파트,0
2011-01,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),741
2011-01,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,156
2011-01,충남,단독,단독,단독,177
2011-01,충남,단독,다가구,동수,38
2011-01,충남,단독,다가구,가구수,453
2011-01,충남,다세대,다세대,다세대,40
2011-01,충남,연립,연립,연립,15
2011-01,충남,아파트,아파트,아파트,471
2011-01,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),130
2011-01,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),416
2011-01,전북,단독,단독,단독,77
2011-01,전북,단독,다가구,동수,45
2011-01,전북,단독,다가구,가구수,331
2011-01,전북,다세대,다세대,다세대,0
2011-01,전북,연립,연립,연립,8
2011-01,전북,아파트,아파트,아파트,0
2011-01,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),256
2011-01,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),409
2011-01,전남,단독,단독,단독,193
2011-01,전남,단독,다가구,동수,28
2011-01,전남,단독,다가구,가구수,181
2011-01,전남,다세대,다세대,다세대,16
2011-01,전남,연립,연립,연립,19
2011-01,전남,아파트,아파트,아파트,0
2011-01,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),352
2011-01,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),954
2011-01,경북,단독,단독,단독,167
2011-01,경북,단독,다가구,동수,60
2011-01,경북,단독,다가구,가구수,662
2011-01,경북,다세대,다세대,다세대,68
2011-01,경북,연립,연립,연립,0
2011-01,경북,아파트,아파트,아파트,57
2011-01,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),727
2011-01,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,680
2011-01,경남,단독,단독,단독,243
2011-01,경남,단독,다가구,동수,176
2011-01,경남,단독,다가구,가구수,1,129
2011-01,경남,다세대,다세대,다세대,21
2011-01,경남,연립,연립,연립,16
2011-01,경남,아파트,아파트,아파트,271
2011-01,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),300
2011-01,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),354
2011-01,제주,단독,단독,단독,57
2011-01,제주,단독,다가구,동수,17
2011-01,제주,단독,다가구,가구수,71
2011-01,제주,다세대,다세대,다세대,8
2011-01,제주,연립,연립,연립,36
2011-01,제주,아파트,아파트,아파트,182
2011-01,세종,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),
2011-01,세종,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),
2011-01,세종,단독,단독,단독,
2011-01,세종,단독,다가구,동수,
2011-01,세종,단독,다가구,가구수,
2011-01,세종,다세대,다세대,다세대,
2011-01,세종,연립,연립,연립,
2011-01,세종,아파트,아파트,아파트,
2011-02,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),13,932
2011-02,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),22,454
2011-02,총계,단독,단독,단독,2,055
2011-02,총계,단독,다가구,동수,1,275
2011-02,총계,단독,다가구,가구수,9,797
2011-02,총계,다세대,다세대,다세대,4,231
2011-02,총계,연립,연립,연립,186
2011-02,총계,아파트,아파트,아파트,6,185
2011-02,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),7,572
2011-02,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),8,854
2011-02,수도권소계,단독,단독,단독,499
2011-02,수도권소계,단독,다가구,동수,266
2011-02,수도권소계,단독,다가구,가구수,1,548
2011-02,수도권소계,다세대,다세대,다세대,3,456
2011-02,수도권소계,연립,연립,연립,185
2011-02,수도권소계,아파트,아파트,아파트,3,166
2011-02,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,102
2011-02,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,273
2011-02,서울,단독,단독,단독,50
2011-02,서울,단독,다가구,동수,34
2011-02,서울,단독,다가구,가구수,205
2011-02,서울,다세대,다세대,다세대,1,680
2011-02,서울,연립,연립,연립,29
2011-02,서울,아파트,아파트,아파트,309
2011-02,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,226
2011-02,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,396
