"연도","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
2012,"박종윤","롯데",121,459,417,107,9,41,47,22,64,5,0.284,0.257,0.301,0.386,0.687,0.31,0.04
2012,"최준석","두산",89,278,248,62,6,15,30,25,47,1,0.286,0.25,0.322,0.343,0.665,0.315,0.04
2012,"모창민","SK",15,36,32,8,1,7,2,2,7,2,0.292,0.25,0.294,0.406,0.7,0.318,0.04
2012,"조재호","SK",4,3,3,1,0,2,2,0,1,0,0.5,0.333,0.333,0.667,1,0.423,0.03
2012,"김사훈","롯데",17,15,15,4,0,0,2,0,7,0,0.5,0.267,0.267,0.333,0.6,0.269,0.03
2012,"서동욱","LG",103,324,273,59,0,32,17,32,78,3,0.299,0.216,0.312,0.271,0.583,0.284,0.03
2012,"오재필","한화",46,83,70,15,1,10,5,9,26,6,0.326,0.214,0.313,0.271,0.584,0.288,0.03
2012,"김종호","삼성",21,14,12,3,0,3,0,1,3,1,0.333,0.25,0.357,0.25,0.607,0.305,0.02
2012,"지재옥","넥센",29,66,50,6,1,3,3,10,10,1,0.128,0.12,0.29,0.2,0.49,0.261,0.02
2012,"김동욱","삼성",1,2,1,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0.382,0.02
2012,"김일경","LG",44,94,82,18,1,10,12,9,18,4,0.27,0.22,0.297,0.28,0.577,0.279,0.01
2012,"양종민","롯데",2,4,4,1,0,0,1,0,1,1,0.333,0.25,0.25,0.25,0.5,0.231,0
2012,"최경철","넥센",73,137,123,28,0,9,7,6,31,1,0.304,0.228,0.269,0.268,0.537,0.254,0
2012,"강병식","넥센",26,36,30,6,0,4,2,5,9,1,0.286,0.2,0.333,0.267,0.6,0.3,0
2012,"안정광","SK",6,16,15,4,0,1,0,1,4,0,0.364,0.267,0.313,0.333,0.646,0.3,-0.01
2012,"이우민","롯데",64,99,82,18,1,12,5,12,20,1,0.279,0.22,0.319,0.28,0.599,0.294,-0.01
2012,"추승우","한화",18,59,52,9,0,4,8,6,11,3,0.22,0.173,0.271,0.308,0.579,0.274,-0.01
2012,"강명구","삼성",72,11,10,1,0,16,0,1,1,15,0.111,0.1,0.182,0.1,0.282,0.153,-0.01
2012,"한동민","SK",7,7,7,2,0,1,0,0,2,0,0.4,0.286,0.286,0.286,0.572,0.264,-0.02
2012,"차화준","넥센",8,4,4,1,0,1,0,0,1,0,0.333,0.25,0.25,0.25,0.5,0.231,-0.02
2012,"이현곤","KIA",6,6,5,1,0,0,0,1,1,0,0.25,0.2,0.333,0.2,0.533,0.281,-0.02
2012,"양영동","LG",72,82,71,14,0,23,4,7,14,12,0.246,0.197,0.278,0.254,0.532,0.259,-0.02
2012,"윤여운","롯데",15,6,6,1,0,0,0,0,5,0,1,0.167,0.167,0.333,0.5,0.212,-0.02
2012,"송창식","한화",2,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,-0.02
2012,"정우람","SK",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02
2012,"바티스타","한화",1,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,-0.02
2012,"신동훈","LG",1,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,-0.02
2012,"이영기","한화",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02
2012,"최우석","한화",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02
2012,"변진수(타자)","두산",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02
2012,"정상교","KIA",5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
2012,"최정민","SK",2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.03
2012,"권영준","롯데",11,14,13,3,0,2,0,0,6,0,0.429,0.231,0.286,0.231,0.517,0.251,-0.04
2012,"권용관","SK",3,5,5,1,0,1,0,0,1,0,0.25,0.2,0.2,0.2,0.4,0.185,-0.04
2012,"김상호","롯데",8,15,12,2,0,1,0,3,5,0,0.286,0.167,0.333,0.167,0.5,0.276,-0.04
2012,"정진기","SK",14,10,8,1,0,1,0,2,3,0,0.2,0.125,0.3,0.125,0.425,0.245,-0.05
2012,"전현태","한화",2,6,4,0,0,1,0,1,1,1,0,0,0.2,0,0.2,0.153,-0.05
2012,"성의준","삼성",2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05
2012,"박승욱","SK",1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05
2012,"이상화","롯데",1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05
2012,"강귀태","넥센",12,21,19,4,0,2,1,0,4,0,0.267,0.211,0.25,0.211,0.461,0.222,-0.07
2012,"이호신","KIA",27,12,10,1,0,3,2,1,4,1,0.143,0.1,0.167,0.3,0.467,0.205,-0.07
2012,"박노민","한화",19,47,41,7,0,1,2,6,13,0,0.25,0.171,0.277,0.195,0.472,0.242,-0.08
2012,"손형준","삼성",3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.08
2012,"김도현","SK",3,3,3,0,0,0,0,0,3,0,NA,0,0,0,0,0,-0.08
2012,"권영진","SK",2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08
2012,"신현철","넥센",11,26,26,6,0,2,3,0,5,0,0.286,0.231,0.231,0.308,0.539,0.24,-0.1
2012,"이양기","한화",34,53,48,11,0,8,6,2,11,0,0.297,0.229,0.302,0.271,0.573,0.275,-0.1
2012,"우동균","삼성",26,60,48,9,1,6,5,7,12,1,0.222,0.188,0.286,0.313,0.599,0.275,-0.1
2012,"임익준","한화",10,5,5,0,0,1,0,0,2,1,0,0,0,0,0,0,-0.11
