gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
724807,2012-12-31,12,CFG,759944,Citizens Financial Group,643.0,4894.0,,1714.0,,,24129.0
724807,2013-12-31,12,CFG,759944,Citizens Financial Group,-3426.0,4690.0,,2649.0,122154.0,102958.0,19196.0
724807,2014-12-31,12,CFG,759944,Citizens Financial Group,865.0,4979.0,,1390.0,132857.0,113589.0,19268.0
724807,2015-12-31,12,CFG,759944,Citizens Financial Group,840.0,4824.0,,1229.0,138208.0,118562.0,19646.0
724807,2016-12-31,12,CFG,759944,Citizens Financial Group,1045.0,5255.0,,1490.0,149520.0,129773.0,19747.0
724807,2017-12-31,12,CFG,759944,Citizens Financial Group,1652.0,5707.0,,1883.0,152336.0,132066.0,20270.0
724807,2018-12-31,12,CFG,759944,Citizens Financial Group,1721.0,6128.0,,1767.0,160518.0,139701.0,20817.0
724807,2019-12-31,12,CFG,759944,Citizens Financial Group,1791.0,6491.0,,1697.0,165733.0,143532.0,22201.0
