gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
611011,2012-12-31,12,MLM,916076,Martin Marietta Materials,84.474,2037.667,1711.751,222.689,3160.926,1710.627,1410.545
611011,2013-12-31,12,MLM,916076,Martin Marietta Materials,121.337,2155.551,1791.594,308.951,3259.826,1684.907,1537.877
611011,2014-12-31,12,MLM,916076,Martin Marietta Materials,155.601,2957.951,2156.735,381.658,7464.392,3111.644,4351.166
611011,2015-12-31,12,MLM,916076,Martin Marietta Materials,288.792,3539.57,2546.349,573.151,6961.732,2901.555,4057.284
611011,2016-12-31,12,MLM,916076,Martin Marietta Materials,425.386,3818.749,2909.783,678.654,7300.905,3158.315,4139.978
611011,2017-12-31,12,MLM,916076,Martin Marietta Materials,713.342,3965.594,2993.654,657.878,8992.511,4310.034,4679.6
611011,2018-12-31,12,MLM,916076,Martin Marietta Materials,469.998,4244.265,3277.688,705.148,9551.419,4602.007,4946.363
611011,2019-12-31,12,MLM,916076,Martin Marietta Materials,611.9,4739.1,3560.1,966.1,10131.6,4778.3,5350.8
