gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
890128,2012-12-31,12,CINF,20286,Cincinnati Financial,421.0,4111.0,,638.0,16548.0,11095.0,5453.0
890128,2013-12-31,12,CINF,20286,Cincinnati Financial,517.0,4531.0,,796.0,17662.0,11592.0,6070.0
890128,2014-12-31,12,CINF,20286,Cincinnati Financial,525.0,4945.0,,873.0,18753.0,12180.0,6573.0
890128,2015-12-31,12,CINF,20286,Cincinnati Financial,634.0,5142.0,,1064.0,18888.0,12461.0,6427.0
890128,2016-12-31,12,CINF,20286,Cincinnati Financial,591.0,5449.0,,1103.0,20386.0,13326.0,7060.0
890128,2017-12-31,12,CINF,20286,Cincinnati Financial,1045.0,5732.0,,1052.0,21843.0,13600.0,8243.0
890128,2018-12-31,12,CINF,20286,Cincinnati Financial,287.0,5407.0,,1181.0,21935.0,14102.0,7833.0
890128,2019-12-31,12,CINF,20286,Cincinnati Financial,1997.0,7924.0,,1208.0,25408.0,15544.0,9864.0
