gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
485869,2012-09-30,9,DIS,1001039,The Walt Disney Company,5682.0,42278.0,4843.0,7966.0,74898.0,35139.0,39759.0
485869,2013-09-30,9,DIS,1001039,The Walt Disney Company,6136.0,45041.0,4944.0,9452.0,81241.0,35812.0,45429.0
485869,2014-09-30,9,DIS,1001039,The Walt Disney Company,7501.0,48813.0,5064.0,9780.0,84186.0,39228.0,44958.0
485869,2015-09-30,9,DIS,1001039,The Walt Disney Company,8382.0,52465.0,5173.0,10909.0,88182.0,43657.0,44525.0
485869,2016-09-30,9,DIS,1001039,The Walt Disney Company,9391.0,55632.0,5340.0,13213.0,92033.0,48768.0,43265.0
485869,2017-09-30,9,DIS,1001039,The Walt Disney Company,8980.0,55137.0,4986.0,12343.0,95789.0,54474.0,41315.0
485869,2018-09-30,9,DIS,1001039,The Walt Disney Company,12598.0,59434.0,5198.0,14295.0,98598.0,49825.0,48773.0
