gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
794906,2012-12-31,12,TWTR,1418091,"Twitter, Inc.",-79.399,316.933,128.768,,,,-248.172
794906,2013-12-31,12,TWTR,1418091,"Twitter, Inc.",-645.323,664.89,266.718,,3366.24,416.234,2950.006
794906,2014-12-31,12,TWTR,1418091,"Twitter, Inc.",-577.82,1403.002,446.309,,5583.082,1956.679,3626.403
794906,2015-12-31,12,TWTR,1418091,"Twitter, Inc.",-521.031,2218.032,729.256,,6442.439,2074.392,4368.047
794906,2016-12-31,12,TWTR,1418091,"Twitter, Inc.",-456.873,2529.619,932.24,763.055,6870.365,2265.43,4604.935
794906,2017-12-31,12,TWTR,1418091,"Twitter, Inc.",-108.063,2443.299,861.242,831.209,7412.477,2365.259,5047.218
794906,2018-12-31,12,TWTR,1418091,"Twitter, Inc.",1205.596,3042.359,964.997,1339.711,10162.572,3356.978,6805.594
794906,2019-12-31,12,TWTR,1418091,"Twitter, Inc.",1465.659,3459.329,1137.041,1303.364,12703.389,3999.003,8704.386
