gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
558034,2012-12-31,12,WM,823768,Waste Management Inc.,817.0,13649.0,1114.0,2295.0,23097.0,16422.0,6354.0
558034,2013-12-31,12,WM,823768,Waste Management Inc.,98.0,13983.0,1232.0,2455.0,22603.0,16601.0,5707.0
558034,2014-12-31,12,WM,823768,Waste Management Inc.,1298.0,13996.0,9002.0,,21412.0,15523.0,5866.0
558034,2015-12-31,12,WM,823768,Waste Management Inc.,752.0,12961.0,950.0,2528.0,20419.0,15052.0,5345.0
558034,2016-12-31,12,WM,823768,Waste Management Inc.,1182.0,13609.0,8486.0,3006.0,20859.0,15539.0,5297.0
558034,2017-12-31,12,WM,823768,Waste Management Inc.,1949.0,14485.0,9021.0,3180.0,21829.0,15787.0,6019.0
558034,2018-12-31,12,WM,823768,Waste Management Inc.,1925.0,14914.0,9249.0,3570.0,22650.0,16374.0,6275.0
558034,2019-12-31,12,WM,823768,Waste Management Inc.,1670.0,15455.0,9496.0,3874.0,27743.0,20673.0,7068.0
