gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
196898,2013-09-30,9,RJF,720005,Raymond James Financial Inc.,367.154,4595.798,,,23186.122,19187.785,3662.924
196898,2014-09-30,9,RJF,720005,Raymond James Financial Inc.,480.248,4965.46,,507.587,23325.652,18892.396,4141.236
196898,2015-09-30,9,RJF,720005,Raymond James Financial Inc.,502.14,5308.164,,899.177,26479.684,21693.586,4522.031
196898,2016-09-30,9,RJF,720005,Raymond James Financial Inc.,529.35,5520.344,,-518.324,31593.733,26443.817,4914.096
196898,2017-09-30,9,RJF,720005,Raymond James Financial Inc.,636.235,6524.875,,1305.936,34883.456,29190.105,5581.713
196898,2018-09-30,9,RJF,720005,Raymond James Financial Inc.,856.695,7475.821,,1903.327,37412.924,30960.578,6368.461
196898,2019-09-30,9,RJF,720005,Raymond James Financial Inc.,1034.0,8023.0,,577.0,38830.0,32187.0,6581.0
