gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
90424,2012-12-31,12,LVS,1300514,Las Vegas Sands,1524.093,11131.132,,3057.757,22163.652,13505.24,7061.842
90424,2013-12-31,12,LVS,1300514,Las Vegas Sands,2305.997,13769.885,,4439.412,22724.264,13223.735,7665.494
90424,2014-12-31,12,LVS,1300514,Las Vegas Sands,2840.629,14583.849,,,22361.691,13341.109,7213.586
90424,2015-12-31,12,LVS,1300514,Las Vegas Sands,1966.236,11688.461,,,20987.421,12569.434,6816.741
90424,2016-12-31,12,LVS,1300514,Las Vegas Sands,1670.0,11410.0,,4044.0,20469.0,12973.0,6177.0
90424,2017-12-31,12,LVS,1300514,Las Vegas Sands,2806.0,12882.0,,4543.0,20687.0,13052.0,6493.0
90424,2018-12-31,12,LVS,1300514,Las Vegas Sands,2413.0,13729.0,,4701.0,22547.0,15802.0,5684.0
90424,2019-12-31,12,LVS,1300514,Las Vegas Sands,2698.0,13739.0,,3038.0,23199.0,16692.0,5187.0
