gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
826632,2012-06-30,6,CLX,21076,The Clorox Company,541.0,5468.0,3164.0,612.0,4355.0,4490.0,-135.0
826632,2013-06-30,6,CLX,21076,The Clorox Company,572.0,5623.0,3211.0,775.0,4311.0,4165.0,146.0
826632,2014-06-30,6,CLX,21076,The Clorox Company,558.0,5591.0,3231.0,767.0,4258.0,4104.0,154.0
826632,2015-06-30,6,CLX,21076,The Clorox Company,580.0,5655.0,3190.0,874.0,4164.0,4046.0,118.0
826632,2016-06-30,6,CLX,21076,The Clorox Company,648.0,5761.0,3163.0,778.0,4518.0,4221.0,297.0
826632,2017-06-30,6,CLX,21076,The Clorox Company,701.0,5973.0,3302.0,868.0,4573.0,4031.0,542.0
826632,2018-06-30,6,CLX,21076,The Clorox Company,823.0,6124.0,3449.0,974.0,5060.0,4334.0,726.0
826632,2019-06-30,6,CLX,21076,The Clorox Company,820.0,6214.0,3486.0,992.0,5116.0,4557.0,559.0
