gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
60101,2013-12-31,12,PYPL,1633917,PayPal,955.0,6727.0,,1993.0,,,7390.0
60101,2014-12-31,12,PYPL,1633917,PayPal,419.0,8025.0,,2220.0,21917.0,13669.0,8248.0
60101,2015-12-31,12,PYPL,1633917,PayPal,1228.0,9248.0,,2546.0,28881.0,15122.0,13759.0
60101,2016-12-31,12,PYPL,1633917,PayPal,1401.0,10842.0,,3158.0,33103.0,18391.0,14712.0
60101,2017-12-31,12,PYPL,1633917,PayPal,1795.0,13094.0,,2531.0,40774.0,24780.0,15994.0
60101,2018-12-31,12,PYPL,1633917,PayPal,2057.0,15451.0,,5483.0,43332.0,27946.0,15386.0
60101,2019-12-31,12,PYPL,1633917,PayPal,2459.0,17772.0,,4561.0,51333.0,34404.0,16885.0
