gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
797328,2012-01-31,1,TIF,98246,Tiffany & Co.,439.19,3642.937,1491.783,210.606,4158.992,1810.087,2348.905
797328,2013-01-31,1,TIF,98246,Tiffany & Co.,416.157,3794.249,1630.965,328.29,4630.85,2032.118,2598.732
797328,2014-01-31,1,TIF,98246,Tiffany & Co.,181.369,4031.13,1690.687,154.652,4752.351,2031.914,2720.437
797328,2015-01-31,1,TIF,98246,Tiffany & Co.,484.179,4249.913,1712.738,615.117,5180.603,2345.544,2835.059
797328,2016-01-31,1,TIF,98246,Tiffany & Co.,463.9,4104.9,1613.6,813.6,5129.7,2218.3,2911.4
797328,2017-01-31,1,TIF,98246,Tiffany & Co.,446.1,4001.8,1511.5,702.1,5097.6,2084.1,3013.5
797328,2018-01-31,1,TIF,98246,Tiffany & Co.,370.1,4169.8,1565.1,932.2,5468.1,2234.7,3233.4
