gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
26268,2012-01-31,1,BBY,764478,Best Buy Co. Inc.,-1425.0,46064.0,34693.0,3097.0,,,4242.0
26268,2012-02-29,2,BBY,764478,Best Buy Co. Inc.,-1231.0,50705.0,38113.0,3293.0,16005.0,12260.0,3745.0
26268,2013-01-31,1,BBY,764478,Best Buy Co. Inc.,-441.0,45085.0,34435.0,1454.0,16787.0,13726.0,3061.0
26268,2014-01-31,1,BBY,764478,Best Buy Co. Inc.,532.0,42410.0,32720.0,1094.0,14013.0,10027.0,3986.0
26268,2015-01-31,1,BBY,764478,Best Buy Co. Inc.,1233.0,40339.0,31292.0,1935.0,15256.0,10261.0,4995.0
26268,2016-01-31,1,BBY,764478,Best Buy Co. Inc.,897.0,39528.0,30334.0,1322.0,13519.0,9141.0,4378.0
26268,2017-01-31,1,BBY,764478,Best Buy Co. Inc.,1228.0,39403.0,29963.0,2545.0,13856.0,9147.0,4709.0
26268,2018-01-31,1,BBY,764478,Best Buy Co. Inc.,1000.0,42151.0,32275.0,2141.0,13049.0,9437.0,3612.0
26268,2019-01-31,1,BBY,764478,Best Buy Co. Inc.,1464.0,42879.0,32918.0,2408.0,12901.0,9595.0,3306.0
26268,2020-01-31,1,BBY,764478,Best Buy Co. Inc.,1541.0,43638.0,33590.0,2565.0,15591.0,12112.0,3479.0
