gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
251527,2012-06-30,6,STX,1137789,Seagate Technology,2862.0,14939.0,10255.0,3262.0,10106.0,6609.0,3497.0
251527,2013-06-30,6,STX,1137789,Seagate Technology,1838.0,14351.0,10411.0,3047.0,9243.0,5737.0,3495.0
251527,2014-06-30,6,STX,1137789,Seagate Technology,1570.0,13724.0,9878.0,2558.0,9492.0,6660.0,2832.0
251527,2015-06-30,6,STX,1137789,Seagate Technology,1742.0,13739.0,9930.0,2647.0,9845.0,6827.0,3018.0
251527,2016-06-30,6,STX,1137789,Seagate Technology,248.0,11160.0,8545.0,1680.0,8252.0,6659.0,1593.0
251527,2017-06-30,6,STX,1137789,Seagate Technology,772.0,10771.0,7597.0,1916.0,9268.0,7904.0,1364.0
251527,2018-06-30,6,STX,1137789,Seagate Technology,1182.0,11184.0,7820.0,2113.0,9410.0,7745.0,1665.0
251527,2019-06-30,6,STX,1137789,Seagate Technology,2012.0,10390.0,7458.0,1761.0,8885.0,6723.0,2162.0
