gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
194017,2012-12-31,12,AME,1037868,AMETEK Inc.,459.132,3334.213,2154.132,612.464,5190.056,2654.905,2535.151
194017,2013-12-31,12,AME,1037868,AMETEK Inc.,516.999,3594.136,2323.642,660.659,5877.902,2741.781,3136.121
194017,2014-12-31,12,AME,1037868,AMETEK Inc.,584.46,4021.964,2597.017,,6420.963,3181.402,3239.561
194017,2015-12-31,12,AME,1037868,AMETEK Inc.,590.859,3974.295,2549.28,,6664.53,3409.904,3254.626
194017,2016-12-31,12,AME,1037868,AMETEK Inc.,512.158,3840.087,2575.22,756.835,7100.674,3844.161,3256.513
194017,2017-12-31,12,AME,1037868,AMETEK Inc.,681.47,4300.17,2851.431,833.259,7796.064,3768.431,4027.633
