gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
478938,2012-12-31,12,PM,1413329,Philip Morris International,8800.0,77393.0,10373.0,9421.0,37670.0,39523.0,-3476.0
478938,2013-12-31,12,PM,1413329,Philip Morris International,8576.0,80029.0,10410.0,10135.0,38168.0,44442.0,-7766.0
478938,2014-12-31,12,PM,1413329,Philip Morris International,7493.0,80106.0,10436.0,7739.0,35187.0,46390.0,-12629.0
478938,2015-12-31,12,PM,1413329,Philip Morris International,6873.0,73908.0,9365.0,7865.0,33956.0,45432.0,-13244.0
478938,2016-12-31,12,PM,1413329,Philip Morris International,6967.0,74953.0,9391.0,8077.0,36851.0,47751.0,-12688.0
478938,2017-12-31,12,PM,1413329,Philip Morris International,6035.0,78098.0,10432.0,8912.0,42968.0,53198.0,-12086.0
478938,2018-12-31,12,PM,1413329,Philip Morris International,7911.0,29625.0,10758.0,9478.0,39801.0,50540.0,-12459.0
478938,2019-12-31,12,PM,1413329,Philip Morris International,7185.0,29805.0,10513.0,10090.0,42875.0,52474.0,-11577.0
