gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
893393,2012-12-31,12,SHW,89800,Sherwin-Williams,631.034,9534.462,5328.236,887.886,6234.737,4442.933,1791.804
893393,2013-12-31,12,SHW,89800,Sherwin-Williams,752.561,10186.0,5568.966,1083.766,6382.507,4607.972,1774.535
893393,2014-12-31,12,SHW,89800,Sherwin-Williams,865.887,11130.0,5965.049,1081.528,5706.052,4709.582,996.47
893393,2015-12-31,12,SHW,89800,Sherwin-Williams,1053.849,11339.0,5780.078,1447.463,5791.855,4923.945,867.91
893393,2016-12-31,12,SHW,89800,Sherwin-Williams,1132.703,11856.0,5933.337,1308.572,6752.521,4874.08,1878.441
893393,2017-12-31,12,SHW,89800,Sherwin-Williams,1772.262,14984.0,8202.577,1883.968,19958.427,16266.239,3692.188
893393,2018-12-31,12,SHW,89800,Sherwin-Williams,1108.746,17534.493,10115.931,1943.7,19134.279,15403.534,3730.745
893393,2019-12-31,12,SHW,89800,Sherwin-Williams,1541.3,17900.8,9864.7,2321.3,20496.2,16372.9,4123.3
