Date,S&P500,Apple,Change_S&P500,Change_Apple
2011-06-01,1320.640015,32.112247,-0.018257461,-0.034959374
2011-05-01,1345.199951,33.275539,-0.013500953,-0.006568988
2011-04-01,1363.609985,33.495571,0.02849538,0.004648147
2011-03-01,1325.829956,33.340599,-0.001047313,-0.013306655
2011-02-01,1327.219971,33.790234,0.031956564,0.040935114
2011-01-01,1286.119995,32.461422,0.022645574,0.05195892
2010-12-01,1257.640015,30.85807,0.06530004,0.036670672
2010-11-01,1180.550049,29.766512,-0.00229025,0.033789499
2010-10-01,1183.26001,28.793591,0.036855994,0.060722452
2010-09-01,1141.199951,27.145264,0.087551103,0.167215282
2010-08-01,1049.329956,23.256433,-0.047449184,-0.055004876
2010-07-01,1101.599976,24.610109,0.06877785,0.022740988
2010-06-01,1030.709961,24.062895,-0.053882442,-0.020827018
2010-05-01,1089.410034,24.574713,-0.081975842,-0.016124615
2010-04-01,1186.689941,24.977465,0.01475923,0.111021334
2010-03-01,1169.430054,22.481535,0.058796426,0.148470434
2010-02-01,1104.48999,19.575197,0.028513689,0.065395929
2010-01-01,1073.869995,18.373636,-0.036974246,-0.088596622
2009-12-01,1115.099976,20.159719,0.017770571,0.054124615
2009-11-01,1095.630005,19.124607,0.057364062,0.060529973
2009-10-01,1036.189941,18.033066,-0.019762001,0.016994742
2009-09-01,1057.079956,17.73172,0.035723346,0.1018968
2009-08-01,1020.619995,16.091997,0.033560189,0.029500123
2009-07-01,987.47998,15.630884,0.074141727,0.147159887
2009-06-01,919.320007,13.625724,0.000195827,0.048744598
2009-05-01,919.140015,12.992414,0.053081446,0.079313203
2009-04-01,872.809998,12.037668,0.09392508,0.197013132
2009-03-01,797.869995,10.056421,0.085404462,0.177023694
2009-02-01,735.090027,8.543941,-0.109931198,-0.009098175
2009-01-01,825.880005,8.622389,-0.085657343,0.056005057
2008-12-01,903.25,8.165102,0.007821577,-0.07899008
2008-11-01,896.23999,8.865379,-0.074849043,-0.138674644
2008-10-01,968.75,10.292718,-0.169424524,-0.053404861
2008-09-01,1166.359985,10.873411,-0.090791434,-0.329558107
2008-08-01,1282.829956,16.218275,0.012190465,0.066561713
2008-07-01,1267.380005,15.206129,-0.009859371,-0.050705008
2008-06-01,1280,16.018339,-0.085962385,-0.112900539
2008-05-01,1400.380005,18.056982,0.010674182,0.085082199
2008-04-01,1385.589966,16.641119,0.047546698,0.21219513
2008-03-01,1322.699951,13.728086,-0.005959624,0.147816195
2008-02-01,1330.630005,11.960178,-0.034761193,-0.076388771
2008-01-01,1378.550049,12.949364,-0.061163432,-0.316639918
2007-12-01,1468.359985,18.949547,-0.008628509,0.087037907
2007-11-01,1481.140015,17.432278,-0.044043417,-0.040694972
2007-10-01,1549.380005,18.171778,0.014822338,0.237701199
2007-09-01,1526.75,14.681878,0.035794008,0.108246678
2007-08-01,1473.98999,13.247843,0.012863572,0.051001716
2007-07-01,1455.27002,12.604968,-0.031981878,0.079646047
2007-06-01,1503.349976,11.675093,-0.017816322,0.007013589
2007-05-01,1530.619995,11.593779,0.032549229,0.214328957
2007-04-01,1482.369995,9.547478,0.043290691,0.074157725
2007-03-01,1420.859985,8.888339,0.009979983,0.098097453
2007-02-01,1406.819946,8.094308,-0.021846176,-0.013064389
2007-01-01,1438.23999,8.201455,0.014059043,0.01049048
2006-12-01,1418.300049,8.116311,0.012615783,-0.074405862
2006-11-01,1400.630005,8.768758,0.016466657,0.130488739
2006-10-01,1377.939941,7.756608,0.031508003,0.053260581
2006-09-01,1335.849976,7.364377,0.024566299,0.134561609
2006-08-01,1303.819946,6.490945,0.021274193,-0.001618711
2006-07-01,1276.660034,6.501469,0.005085879,0.186659738
2006-06-01,1270.199951,5.478798,8.65962E-05,-0.041826958
2006-05-01,1270.089966,5.717963,-0.030916916,-0.150873827
2006-04-01,1310.609985,6.733938,0.012155653,0.122289705
2006-03-01,1294.869995,6.000178,0.01109581,-0.084245957
2006-02-01,1280.660034,6.552172,0.000453158,-0.09296768
2006-01-01,1280.079956,7.223747,0.025466771,0.050354209
2005-12-01,1248.290039,6.877439,-0.000952349,0.060011926
2005-11-01,1249.47998,6.488077,0.035186096,0.177635109
2005-10-01,1207.01001,5.509412,-0.01774078,0.074240264
2005-09-01,1228.810059,5.128659,0.006949025,0.143313856
2005-08-01,1220.329956,4.485784,-0.011222105,0.099414018
2005-07-01,1234.180054,4.080159,0.035968287,0.158652211
2005-06-01,1191.329956,3.52147,-0.000142714,-0.074194912
2005-05-01,1191.5,3.803684,0.029952046,0.102606588
2005-04-01,1156.849976,3.44972,-0.020108582,-0.134629254
