Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
MSFT,Microsoft Corporation,"Oct 23, 2003, 12 AMEDT",0.29,0.3,3.56
MSFT,Microsoft Corporation,"Jul 17, 2003, 12 AMEDT",0.24,0.23,-2.84
MSFT,Microsoft Corporation,"Apr 15, 2003, 12 AMEDT",0.24,0.27,13.16
MSFT,Microsoft Corporation,"Jan 16, 2003, 12 AMEDT",0.23,0.27,14.22
MSFT,Microsoft Corporation,"Oct 17, 2002, 12 AMEDT",0.21,0.28,29.06
MSFT,Microsoft Corporation,"Jul 18, 2002, 12 AMEDT",0.21,0.21,0.8
MSFT,Microsoft Corporation,"Apr 18, 2002, 12 AMEDT",0.25,0.25,-3.56
MSFT,Microsoft Corporation,"Jan 17, 2002, 12 AMEDT",0.21,0.25,15.25
MSFT,Microsoft Corporation,"Oct 18, 2001, 12 AMEDT",0.2,0.22,9.5
MSFT,Microsoft Corporation,"Jul 19, 2001, 12 AMEDT",0.21,0.22,0.75
MSFT,Microsoft Corporation,"Apr 19, 2001, 12 AMEDT",0.21,0.22,5.33
MSFT,Microsoft Corporation,"Jan 18, 2001, 12 AMEDT",0.23,0.24,1.44
MSFT,Microsoft Corporation,"Oct 18, 2000, 12 AMEDT",0.21,0.23,11.48
MSFT,Microsoft Corporation,"Jul 18, 2000, 12 AMEDT",0.21,0.22,5.81
MSFT,Microsoft Corporation,"Apr 20, 2000, 12 AMEDT",0.2,0.22,5.27
MSFT,Microsoft Corporation,"Jan 18, 2000, 12 AMEDT",0.21,0.24,11.27
MSFT,Microsoft Corporation,"Oct 19, 1999, 12 AMEDT",0.17,0.19,10.38
MSFT,Microsoft Corporation,"Jul 19, 1999, 12 AMEDT",0.18,0.2,12.03
MSFT,Microsoft Corporation,"Apr 20, 1999, 12 AMEDT",0.16,0.19,21.78
MSFT,Microsoft Corporation,"Jan 19, 1999, 12 AMEDT",0.15,0.18,23.47
MSFT,Microsoft Corporation,"Oct 20, 1998, 12 AMEDT",0.12,0.14,13.84
MSFT,Microsoft Corporation,"Jul 16, 1998, 12 AMEDT",0.12,0.13,4.99
MSFT,Microsoft Corporation,"Apr 22, 1998, 12 AMEDT",0.12,0.13,5.72
MSFT,Microsoft Corporation,"Jan 21, 1998, 12 AMEDT",0.1,0.11,3.85
MSFT,Microsoft Corporation,"Oct 20, 1997, 12 AMEDT",0.09,0.09,2.53
MSFT,Microsoft Corporation,"Jul 17, 1997, 12 AMEDT",0.1,0.1,0.83
MSFT,Microsoft Corporation,"Apr 17, 1997, 12 AMEDT",0.08,0.1,25.21
MSFT,Microsoft Corporation,"Jan 17, 1997, 12 AMEDT",0.06,0.07,12.47
MSFT,Microsoft Corporation,"Oct 21, 1996, 12 AMEDT",0.06,0.06,5.13
