gvkey,datadate,fyr,tic,cik,conm,ni,sale,cogs,oancf,at,lt,seq
002575,20121231,12,MTD,1037646,Mettler Toledo,290.847,2341.528,811.204,327.704,2117.4,1290.181,827.219
002575,20131231,12,MTD,1037646,Mettler Toledo,306.094,2378.972,794.915,345.928,2152.819,1217.767,935.052
002575,20141231,12,MTD,1037646,Mettler Toledo,338.241,2485.983,809.537,418.912,2009.11,1289.515,719.595
002575,20151231,12,MTD,1037646,Mettler Toledo,352.82,2395.447,744.867,426.868,2018.485,1438.028,580.457
002575,20161231,12,MTD,1037646,Mettler Toledo,384.37,2508.257,767.753,443.078,2166.777,1731.834,434.943
002575,20171231,12,MTD,1037646,Mettler Toledo,375.972,2725.053,833.793,516.325,2549.805,2002.525,547.28
002575,20181231,12,MTD,1037646,Mettler Toledo,512.611,2935.586,,565.005,2618.847,2028.784,590.063
002575,20191231,12,MTD,1037646,Mettler Toledo,561.109,3008.652,,603.45,2789.321,2368.541,420.78
005977,20171231,12,AXP,4962,American Express Co,2736,24780,,13540,181159,162932,18227
005977,20181231,12,AXP,4962,American Express Co,6921,26607,,8930,188602,166312,22290
005977,20191231,12,AXP,4962,American Express Co,6759,28159,,13632,198321,175250,23071
006683,20121231,12,CHRW,1043277,C. H. Robinson Worldwide,593.804,11359.113,1483.745,460.342,2804.225,1299.853,1504.372
006683,20131231,12,CHRW,1043277,C. H. Robinson Worldwide,415.904,12752.076,1542.184,347.777,2802.818,1863.094,939.724
006683,20141231,12,CHRW,1043277,C. H. Robinson Worldwide,449.711,13470.067,1418.009,513.426,3214.338,2167.323,1047.015
006683,20151231,12,CHRW,1043277,C. H. Robinson Worldwide,509.699,13476.084,1365.333,718.336,3184.358,2033.908,1150.45
006683,20161231,12,CHRW,1043277,C. H. Robinson Worldwide,513.384,13144.413,1316.951,529.408,3687.758,2429.911,1257.847
006683,20171231,12,CHRW,1043277,C. H. Robinson Worldwide,504.893,14869.38,1244.04,384.001,4235.834,2810.089,1425.745
006683,20181231,12,CHRW,1043277,C. H. Robinson Worldwide,664.505,16631.172,,792.896,4427.412,2832.325,1595.087
006683,20191231,12,CHRW,1043277,C. H. Robinson Worldwide,576.968,15309.508,,835.419,4641.06,2970.33,1670.73
007334,20121231,12,HAL,45012,Halliburton Co.,2635,28503,5322,3654,27410,11620,15765
007334,20131231,12,HAL,45012,Halliburton Co.,2125,29402,5972,4447,29223,15608,13581
007334,20141231,12,HAL,45012,Halliburton Co.,3500,32870,6599,4062,32240,15942,16267
007334,20151231,12,HAL,45012,Halliburton Co.,-671,23633,5213,2906,36942,21447,15462
007334,20161231,12,HAL,45012,Halliburton Co.,-5763,15887,3770,-1703,27000,17552,9409
007334,20171231,12,HAL,45012,Halliburton Co.,-463,20620,4142,2468,25085,16736,8322
009402,20120630,6,MSFT,789019,Microsoft Corp.,16978,73723,17530,31626,121271,54908,66363
009402,20130630,6,MSFT,789019,Microsoft Corp.,21863,77849,20249,28833,142431,63487,78944
009402,20140630,6,MSFT,789019,Microsoft Corp.,22074,86833,26934,,172384,82600,89784
009402,20150630,6,MSFT,789019,Microsoft Corp.,12193,93580,33038,,176223,96140,80083
009402,20160630,6,MSFT,789019,Microsoft Corp.,16798,85320,17880,33325,193694,121697,71997
009402,20170630,6,MSFT,789019,Microsoft Corp.,21204,89950,15175,39507,241086,168692,72394
009402,20180630,6,MSFT,789019,Microsoft Corp.,16571,110360,38353,43884,258848,176130,82718
009402,20190630,6,MSFT,789019,Microsoft Corp.,39240,125843,42910,52185,286556,184226,102330
009570,20121231,12,INTC,50863,Intel Corp.,11005,53341,20190,18884,84351,33148,51203
009570,20131231,12,INTC,50863,Intel Corp.,9620,52708,21187,,92358,34102,58256
009570,20141231,12,INTC,50863,Intel Corp.,11704,55870,20261,,91956,36091,55865
009570,20151231,12,INTC,50863,Intel Corp.,11420,55355,20676,,103065,41980,61085
009570,20161231,12,INTC,50863,Intel Corp.,10316,59387,23196,,113327,47101,66226
009570,20171231,12,INTC,50863,Intel Corp.,9601,62761,23692,22110,123249,54230,69019
009570,20181231,12,INTC,50863,Intel Corp.,21053,70848,27111,29432,127963,53400,74563
009570,20191231,12,INTC,50863,Intel Corp.,21048,71965,29825,33145,136524,59020,77504
011368,20121231,12,LYB,1489393,LyondellBasell,2848,45352,39595,4787,24220,13081,11139
011368,20131231,12,LYB,1489393,LyondellBasell,3857,44062,37940,4835,27298,14820,12478
011368,20141231,12,LYB,1489393,LyondellBasell,4174,45608,38939,6048,24283,15969,8314
011368,20151231,12,LYB,1489393,LyondellBasell,4476,32735,25683,5842,22757,16207,6550
011368,20161231,12,LYB,1489393,LyondellBasell,3836,29183,23191,5606,23442,17394,6048
011368,20171231,12,LYB,1489393,LyondellBasell,4879,34484,28059,5206,26206,17257,8949
011368,20181231,12,LYB,1489393,LyondellBasell,4690,38126,32529,5471,28278,18021,10257
011368,20191231,12,LYB,1489393,LyondellBasell,3397,34727,29301,4961,30435,22391,8044
011523,20121231,12,MPC,1510295,Marathon Petroleum,3389,82243,,4492,27223,15118,11694
011523,20131231,12,MPC,1510295,Marathon Petroleum,2112,100160,,3405,28385,17053,10920
011523,20141231,12,MPC,1510295,Marathon Petroleum,2524,97817,,3110,30460,19070,10751
011523,20151231,12,MPC,1510295,Marathon Petroleum,2852,72051,,4061,43115,23440,13237
011523,20181231,12,MPC,1510295,Marathon Petroleum,2780,95750,85456,6158,92940,47887,35175
011523,20191231,12,MPC,1510295,Marathon Petroleum,2637,123949,110243,9441,98556,55449,33694
014074,20121231,12,PGR,80661,Progressive Corp.,902.3,17083.9,,1691.4,22694.7,16687.7,6007
014074,20131231,12,PGR,80661,Progressive Corp.,1165.4,18170.9,,1899.9,24408.2,18218.7,6189.5
014074,20141231,12,PGR,80661,Progressive Corp.,1281,19391.4,,1725.6,25787.6,18859,6928.6
014074,20151231,12,PGR,80661,Progressive Corp.,1267.6,20853.8,,2292.9,29819.3,22065,7289.4
014074,20161231,12,PGR,80661,Progressive Corp.,1031,23441.4,,2701.9,33427.5,24986.7,7957.1
014074,20171231,12,PGR,80661,Progressive Corp.,1592.2,26839,,3756.8,38701.2,28912.7,9284.8
014074,20181231,12,PGR,80661,Progressive Corp.,2615.3,31979,,6284.8,46575,35538.7,10821.8
014074,20191231,12,PGR,80661,Progressive Corp.,3970.3,39022.3,,6261.6,54895.3,40996.5,13673.2
016281,20141130,11,CCL,815097,Carnival Corp.,1236,15884,10403,3430,39532,15244,24288
016281,20151130,11,CCL,815097,Carnival Corp.,1757,15714,9447,4545,39237,15466,23771
016281,20161130,11,CCL,815097,Carnival Corp.,2779,16389,9383,5134,38936,16339,22597
016281,20171130,11,CCL,815097,Carnival Corp.,2606,17510,10501,5322,40778,16562,24216
016281,20181130,11,CCL,815097,Carnival Corp.,3152,18881,11089,5549,42401,17958,24443
016281,20191130,11,CCL,815097,Carnival Corp.,2990,20825,12909,5475,45058,19693,25365
017907,20120930,9,SBUX,829224,Starbucks Corp.,1383.8,13299.5,5813.3,1750.3,8219.2,3104.7,5109
017907,20130930,9,SBUX,829224,Starbucks Corp.,8.3,14892.2,6382.3,2908.3,11516.7,7034.4,4480.2
017907,20140930,9,SBUX,829224,Starbucks Corp.,2068.1,16447.8,6858.8,607.8,10752.9,5479.2,5272
017907,20150930,9,SBUX,829224,Starbucks Corp.,2757.4,19162.7,7787.5,3749.1,12446.1,6626.3,5818
017907,20160930,9,SBUX,829224,Starbucks Corp.,2817.7,21315.9,8511.1,4575.1,14329.5,8438.8,5884
017907,20170930,9,SBUX,829224,Starbucks Corp.,2884.7,22386.8,9038.2,4174.3,14365.6,8908.6,5450.1
017907,20180930,9,SBUX,829224,Starbucks Corp.,4518.3,24719.5,10174.5,11937.8,24156.4,22980.6,1169.5
017907,20190930,9,SBUX,829224,Starbucks Corp.,3599.2,26508.6,8526.9,5047,19219.6,25450.6,-6232.2
026268,20120131,1,BBY,764478,Best Buy Co. Inc.,-1425,46064,34693,3097,,,4242
026268,20120229,2,BBY,764478,Best Buy Co. Inc.,-1231,50705,38113,3293,16005,12260,3745
026268,20130131,1,BBY,764478,Best Buy Co. Inc.,-441,45085,34435,1454,16787,13726,3061
026268,20140131,1,BBY,764478,Best Buy Co. Inc.,532,42410,32720,1094,14013,10027,3986
026268,20150131,1,BBY,764478,Best Buy Co. Inc.,1233,40339,31292,1935,15256,10261,4995
026268,20160131,1,BBY,764478,Best Buy Co. Inc.,897,39528,30334,1322,13519,9141,4378
026268,20170131,1,BBY,764478,Best Buy Co. Inc.,1228,39403,29963,2545,13856,9147,4709
026268,20180131,1,BBY,764478,Best Buy Co. Inc.,1000,42151,32275,2141,13049,9437,3612
026268,20190131,1,BBY,764478,Best Buy Co. Inc.,1464,42879,32918,2408,12901,9595,3306
026268,20200131,1,BBY,764478,Best Buy Co. Inc.,1541,43638,33590,2565,15591,12112,3479
027433,20121231,12,PCAR,75362,PACCAR Inc.,1111.6,17050.5,,1519,18627.8,12780.9,5846.9
027433,20131231,12,PCAR,75362,PACCAR Inc.,1171.3,17123.8,,2375.7,20725.5,14091.2,6634.3
027433,20141231,12,PCAR,75362,PACCAR Inc.,1358.8,18997,,,20618.8,13865.6,6753.2
027433,20151231,12,PCAR,75362,PACCAR Inc.,1604,19115.1,,,21109.8,14169.4,6940.4
027433,20161231,12,PCAR,75362,PACCAR Inc.,521.7,17033.3,,2300.8,20638.9,13861.3,6777.6
027433,20171231,12,PCAR,75362,PACCAR Inc.,1675.2,19456.4,,2715.8,23440.2,15389.7,8050.5
027433,20181231,12,PCAR,75362,PACCAR Inc.,2195.1,23495.7,,2992.3,25482.4,16889.5,8592.9
027433,20191231,12,PCAR,75362,PACCAR Inc.,2387.9,25599.7,,2860.3,28361.1,18655,9706.1
028763,20120630,6,BR,1383312,Broadridge Financial Solutions,123.6,2303.5,1715.1,,1987.6,1137.1,850.5
028763,20130630,6,BR,1383312,Broadridge Financial Solutions,212.1,2430.8,1767.8,,2018.2,1202.2,816
028763,20140630,6,BR,1383312,Broadridge Financial Solutions,263,2558,1761.4,,2192.1,1230.4,961.7
028763,20150630,6,BR,1383312,Broadridge Financial Solutions,287.1,2694.2,1828.2,,2368.1,1440.3,927.8
028763,20160630,6,BR,1383312,Broadridge Financial Solutions,307.5,2897,1975.9,437.7,2879.8,1834.3,1045.5
028763,20170630,6,BR,1383312,Broadridge Financial Solutions,326.8,4142.6,3109.6,515.9,3149.8,2146,1003.8
028763,20180630,6,BR,1383312,Broadridge Financial Solutions,427.9,4329.9,3169.6,693.6,3304.7,2210.4,1094.3
028763,20190630,6,BR,1383312,Broadridge Financial Solutions,482.1,4362.2,3131.9,617,3880.7,2753.2,1127.5
029631,20121231,12,EQIX,1101239,Equinix,144.666,1895.744,943.995,632.026,6132.964,3713.513,2335.273
029631,20131231,12,EQIX,1101239,Equinix,94.685,2152.766,1064.403,604.608,7492.359,4909.393,2459.064
029631,20141231,12,EQIX,1101239,Equinix,-259.547,2443.776,1197.885,689.42,7817.433,5547.302,2270.131
029631,20151231,12,EQIX,1101239,Equinix,187.774,2725.867,1291.506,894.793,10356.695,7611.309,2745.386
029631,20161231,12,EQIX,1101239,Equinix,126.8,3611.989,1820.87,1016.58,12608.371,8242.542,4365.829
029631,20171231,12,EQIX,1101239,Equinix,232.982,4368.428,2193.149,1439.233,18691.457,11841.667,6849.79
029631,20181231,12,EQIX,1101239,Equinix,365.359,5071.654,2605.475,1815.426,20244.638,13025.359,7219.279
029631,20191231,12,EQIX,1101239,Equinix,507.45,5562.14,2810.184,1992.728,23965.615,15125.233,8840.606
033262,20121231,12,UAL,100517,United Airlines Holdings,-723,37152,,935,37628,37147,481
033262,20131231,12,UAL,100517,United Airlines Holdings,571,38279,,1444,36812,33828,2984
033262,20141231,12,UAL,100517,United Airlines Holdings,1132,38901,,,37353,34957,2396
033262,20151231,12,UAL,100517,United Airlines Holdings,7340,37864,,,40861,31895,8966
033262,20161231,12,UAL,100517,United Airlines Holdings,2263,36556,,,40140,31481,8659
033262,20171231,12,UAL,100517,United Airlines Holdings,2131,37736,,3474,42326,33520,8806
033262,20181231,12,UAL,100517,United Airlines Holdings,2129,41303,,6164,44792,34797,9995
033262,20191231,12,UAL,100517,United Airlines Holdings,3009,43259,,6909,52611,41080,11531
033871,20121231,12,ICE,1571949,Intercontinental Exchange,552,1363,,733,37215,33538,3644
033871,20131231,12,ICE,1571949,Intercontinental Exchange,254,1795,,735,64818,51881,12583
033871,20141231,12,ICE,1571949,Intercontinental Exchange,981,4221,,1463,68279,55722,12360
033871,20151231,12,ICE,1571949,Intercontinental Exchange,1274,4682,,1311,77987,63112,14808
033871,20161231,12,ICE,1571949,Intercontinental Exchange,1422,5958,,2149,82003,66213,15717
033871,20171231,12,ICE,1571949,Intercontinental Exchange,2514,4629,,2085,78264,61312,16924
033871,20181231,12,ICE,1571949,Intercontinental Exchange,1988,6276,,2533,92791,75489,17201
033871,20191231,12,ICE,1571949,Intercontinental Exchange,1933,6547,,2659,94493,77129,17255
037106,20121231,12,MAR,1048286,Marriott Int'l.,571,11814,,989,6342,7627,-1285
037106,20131231,12,MAR,1048286,Marriott Int'l.,626,12784,,1140,6794,8209,-1415
037106,20141231,12,MAR,1048286,Marriott Int'l.,753,13796,,1224,6865,9065,-2200
037106,20151231,12,MAR,1048286,Marriott Int'l.,859,14486,,1430,6082,9672,-3590
037106,20161231,12,MAR,1048286,Marriott Int'l.,780,17072,,1582,24140,18783,5357
037106,20171231,12,MAR,1048286,Marriott Int'l.,1372,22894,,2436,23948,20217,3731
037106,20181231,12,MAR,1048286,Marriott Int'l.,1907,20758,,2357,23696,21471,2225
037106,20191231,12,MAR,1048286,Marriott Int'l.,1273,20972,,1685,25051,24348,703
041314,20121231,12,CERN,804753,Cerner,397.232,2665.436,608.197,708.314,3704.468,870.818,2833.65
041314,20131231,12,CERN,804753,Cerner,398.354,2910.748,514.722,695.865,4098.364,930.7,3167.664
041314,20141231,12,CERN,804753,Cerner,525.433,3402.703,604.377,847.027,4530.565,964.597,3565.968
041314,20151231,12,CERN,804753,Cerner,539.362,4425.267,430.335,947.526,5561.984,1691.6,3870.384
041314,20161231,12,CERN,804753,Cerner,636.484,4796.473,412.066,1155.612,5629.963,1702.016,3927.947
041314,20171231,12,CERN,804753,Cerner,866.978,5142.272,854.091,1307.675,6469.311,1683.963,4785.348
041314,20181231,12,CERN,804753,Cerner,630.059,5366.325,937.348,1454.009,6708.636,1780.247,4928.389
041314,20191231,12,CERN,804753,Cerner,529.454,5692.598,1071.041,1313.099,6894.622,2577.294,4317.328
042361,20161231,12,APH,820313,Amphenol Corp,822.9,6286.4,4246.4,1077.6,8498.7,4823.8,3674.9
042361,20171231,12,APH,820313,Amphenol Corp,650.5,7011.3,4701.4,1144.2,10003.9,6014.1,3989.8
042361,20181231,12,APH,820313,Amphenol Corp,1205,8202,5547.1,1112.7,10044.9,6027.9,4017
042361,20191231,12,APH,820313,Amphenol Corp,1155,8225.4,5609.4,1502.3,10815.5,6285.2,4530.3
044237,20141130,11,INFO,1598014,IHS Markit Ltd.,194.5,2079.8,815.2,628.1,5272.1,3112.5,2159.6
044237,20151130,11,INFO,1598014,IHS Markit Ltd.,240.2,2184.3,819.2,612.6,5577.5,3376.6,2200.9
044237,20161130,11,INFO,1598014,IHS Markit Ltd.,152.8,2734.8,1037.7,638.3,13936.6,5852.2,8084.4
044237,20171130,11,INFO,1598014,IHS Markit Ltd.,416.9,3599.7,1348.4,961.5,14554.4,6550,8004.4
044237,20181130,11,INFO,1598014,IHS Markit Ltd.,542.3,4009.2,1495.7,1289.5,16062.3,8041.8,8020.5
044237,20191130,11,INFO,1598014,IHS Markit Ltd.,502.7,4414.6,1657,1251.3,16087.2,7671.4,8415.8
044869,20120131,1,LB,701985,L Brands Inc.,850,10364,6307,1266,6108,5971,137
044869,20130131,1,LB,701985,L Brands Inc.,753,10459,6073,1351,6019,7034,-1015
044869,20140131,1,LB,701985,L Brands Inc.,903,10773,6344,1248,7198,7568,-370
044869,20150131,1,LB,701985,L Brands Inc.,1042,11454,6646,1786,7544,7526,18
044869,20160131,1,LB,701985,L Brands Inc.,1253,12154,6950,1869,8493,8752,-259
044869,20170131,1,LB,701985,L Brands Inc.,1158,12574,7449,1890,8170,8899,-729
044869,20180131,1,LB,701985,L Brands Inc.,983,12632,7673,1406,8149,8902,-753
044869,20190131,1,LB,701985,L Brands Inc.,644,13237,8338,1377,8090,8959,-869
044869,20200131,1,LB,701985,L Brands Inc.,-366,12914,8464,1236,10125,11624,-1499
045855,20161231,12,GPC,40987,Genuine Parts,687.24,15339.713,10740.106,946.078,8859.4,5665.672,3193.728
045855,20171231,12,GPC,40987,Genuine Parts,616.757,16308.801,11402.403,815.043,12412.381,9000.229,3412.152
045855,20181231,12,GPC,40987,Genuine Parts,810.474,18735.073,12751.286,1145.164,12683.04,9232.589,3450.451
045855,20191231,12,GPC,40987,Genuine Parts,621.085,19392.305,13076.036,892.01,14645.629,10970.922,3674.707
047993,20121231,12,PKI,31791,PerkinElmer,69.94,2115.205,762.989,152.17,3901.762,1961.95,1939.812
047993,20131231,12,PKI,31791,PerkinElmer,167.212,2166.232,783.584,158.591,3946.712,1952.225,1994.487
047993,20141231,12,PKI,31791,PerkinElmer,157.778,2237.219,805.345,281.597,4134.075,2091.973,2042.102
047993,20151231,12,PKI,31791,PerkinElmer,212.425,2262.359,793.728,287.098,4166.295,2055.854,2110.441
047993,20161231,12,PKI,31791,PerkinElmer,234.299,2115.517,664.803,350.615,4276.683,2123.113,2153.57
047993,20171231,12,PKI,31791,PerkinElmer,292.633,2256.982,708.685,288.453,6091.463,3588.275,2503.188
047993,20181231,12,PKI,31791,PerkinElmer,237.927,2777.996,1437.057,311.038,5975.522,3390.567,2584.955
047993,20191231,12,PKI,31791,PerkinElmer,227.558,2883.673,,363.469,6538.564,3724.74,2813.824
048958,20121231,12,IDXX,874716,IDEXX Laboratories,178.267,1293.338,305.91,230.282,1103.602,467.345,636.223
048958,20131231,12,IDXX,874716,IDEXX Laboratories,187.8,1377.058,318.685,245.996,1230.516,712.302,518.186
048958,20141231,12,IDXX,874716,IDEXX Laboratories,181.906,1485.807,669.691,235.846,1384.211,1266.622,117.516
048958,20151231,12,IDXX,874716,IDEXX Laboratories,192.078,1601.892,360.208,,1474.993,1558.988,-84.125
048958,20161231,12,IDXX,874716,IDEXX Laboratories,222.045,1775.423,416.81,,1530.704,1638.917,-108.352
048958,20171231,12,IDXX,874716,IDEXX Laboratories,263.144,1969.058,446.449,373.276,1713.416,1767.258,-54.106
048958,20181231,12,IDXX,874716,IDEXX Laboratories,377.031,2213.242,971.7,400.084,1537.349,1546.582,-9.513
048958,20191231,12,IDXX,874716,IDEXX Laboratories,427.72,2406.908,1041.359,459.158,1832.475,1654.65,177.473
051611,20121231,12,IPGP,1111928,IPG Photonics Corp.,145.004,562.528,257.801,175.276,895.498,152.571,742.927
051611,20131231,12,IPGP,1111928,IPG Photonics Corp.,155.78,648.034,308.136,119.367,1061.216,133.247,927.969
051611,20141231,12,IPGP,1111928,IPG Photonics Corp.,200.445,769.832,353.314,180.105,1210.887,164.326,1046.561
051611,20151231,12,IPGP,1111928,IPG Photonics Corp.,242.154,901.265,409.388,256.571,1453.429,192.764,1259.528
051611,20161231,12,IPGP,1111928,IPG Photonics Corp.,260.752,1006.173,453.933,292.288,1789.999,232.275,1557.558
051611,20171231,12,IPGP,1111928,IPG Photonics Corp.,347.614,1408.889,611.978,405.395,2367.255,344.933,2022.322
051611,20181231,12,IPGP,1111928,IPG Photonics Corp.,404.027,1459.874,659.606,393.301,2574.45,368.215,2205.548
051611,20191231,12,IPGP,1111928,IPG Photonics Corp.,180.234,1314.581,708.372,323.521,2730.436,327.993,2401.726
052441,20120630,6,TPR,1116132,"Tapestry, Inc.",1038.91,4763.18,1297.102,1221.689,3104.321,1111.39,1992.931
052441,20130630,6,TPR,1116132,"Tapestry, Inc.",1034.42,5075.39,1377.242,1413.974,3531.897,1122.739,2409.158
052441,20140630,6,TPR,1116132,"Tapestry, Inc.",781.336,4806.226,1509.263,985.41,3663.131,1242.478,2420.653
052441,20150630,6,TPR,1116132,"Tapestry, Inc.",402.4,4191.6,1283,937.4,4666.9,2177,2489.9
052441,20160630,6,TPR,1116132,"Tapestry, Inc.",460.5,4491.8,1440.5,758.6,4892.7,2209.8,2682.9
052441,20170630,6,TPR,1116132,"Tapestry, Inc.",591,4488.3,1407.2,853.8,5831.6,2829.7,3001.9
052441,20180630,6,TPR,1116132,"Tapestry, Inc.",397.5,5880,2026.1,996.7,6678.3,3433.7,3244.6
052441,20190630,6,TPR,1116132,"Tapestry, Inc.",643.4,6027.1,1973.4,791.7,6877.3,3363.9,3513.4
052621,20121231,12,FMC,37785,FMC Corporation,416.2,3748.3,2407.1,,4373.9,2893.6,1480.3
052621,20131231,12,FMC,37785,FMC Corporation,293.9,3874.8,2534.4,,5235.2,3715.4,1519.8
052621,20141231,12,FMC,37785,FMC Corporation,307.5,4037.7,2662.7,,5340.5,3810,1530.5
052621,20151231,12,FMC,37785,FMC Corporation,489,3276.5,2201.1,,6325.9,4460.2,1865.7
052621,20161231,12,FMC,37785,FMC Corporation,209.1,3282.4,2082.6,,6139.3,4181.6,1957.7
052621,20171231,12,FMC,37785,FMC Corporation,535.8,2878.6,1777.3,,9206.3,6524.5,2681.8
052621,20181231,12,FMC,37785,FMC Corporation,502.1,4727.8,2640.9,,9974.3,6853.2,3121.1
052621,20191231,12,FMC,37785,FMC Corporation,477.4,4609.8,2526.2,,9872.7,7340.4,2532.3
058637,20120331,3,MCK,927653,McKesson Corp.,1403,122734,116167,2950,33093,26262,6831
058637,20130331,3,MCK,927653,McKesson Corp.,1338,122455,115471,2483,34786,27716,7070
058637,20140331,3,MCK,927653,McKesson Corp.,1263,137609,129300,3136,51759,43237,8522
058637,20150331,3,MCK,927653,McKesson Corp.,1476,179045,167634,3112,53870,45869,8001
058637,20160331,3,MCK,927653,McKesson Corp.,2258,190884,179468,3672,56563,47639,8924
058637,20170331,3,MCK,927653,McKesson Corp.,5070,198533,187262,4744,60969,49874,11095
058637,20180331,3,MCK,927653,McKesson Corp.,67,208357,197173,4345,60381,50577,9804
058637,20190331,3,MCK,927653,McKesson Corp.,34,214319,202565,4036,59672,51578,8094
058865,20121231,12,MS,895421,Morgan Stanley,68,26112,,24548,780960,711223,62109
058865,20131231,12,MS,895421,Morgan Stanley,2932,32417,,,832702,763672,65921
058865,20141231,12,MS,895421,Morgan Stanley,3467,34275,,,801510,729406,70900
059583,20120630,6,LRCX,707549,Lam Research,168.723,2665.192,1581.982,499.028,8004.652,2682.528,5131.781
059583,20130630,6,LRCX,707549,Lam Research,113.879,3598.916,2195.857,719.933,7250.315,2574.523,4488.872
059583,20140630,6,LRCX,707549,Lam Research,632.289,4607.309,2599.828,,7993.306,2780.222,5029.735
059583,20150630,6,LRCX,707549,Lam Research,655.577,5259.312,2974.976,,9364.648,4019.696,5103.144
059583,20160630,6,LRCX,707549,Lam Research,914.049,5885.893,3266.971,,12271.528,6169.459,5894.517
059583,20170630,6,LRCX,707549,Lam Research,1697.763,8013.62,4410.261,2029.282,12122.765,5135.453,6817.451
059583,20180630,6,LRCX,707549,Lam Research,2380.681,11076.998,5911.966,2655.747,12479.478,5899.435,6501.851
059583,20190630,6,LRCX,707549,Lam Research,2191.43,9653.559,5295.1,3176.013,12001.333,7278.029,4673.865
060101,20131231,12,PYPL,1633917,PayPal,955,6727,,1993,,,7390
060101,20141231,12,PYPL,1633917,PayPal,419,8025,,2220,21917,13669,8248
060101,20151231,12,PYPL,1633917,PayPal,1228,9248,,2546,28881,15122,13759
060101,20161231,12,PYPL,1633917,PayPal,1401,10842,,3158,33103,18391,14712
060101,20171231,12,PYPL,1633917,PayPal,1795,13094,,2531,40774,24780,15994
060101,20181231,12,PYPL,1633917,PayPal,2057,15451,,5483,43332,27946,15386
060101,20191231,12,PYPL,1633917,PayPal,2459,17772,,4561,51333,34404,16885
062450,20131231,12,COF,927628,Capital One Financial,4159,22384,,9984,297048,255304,41744
062450,20141231,12,COF,927628,Capital One Financial,4428,22290,,9304,308854,263801,45053
062450,20151231,12,COF,927628,Capital One Financial,4050,23413,,10127,334048,286764,47284
062450,20161231,12,COF,927628,Capital One Financial,3751,25501,,11856,357033,309519,47514
062450,20171231,12,COF,927628,Capital One Financial,1982,27237,,14182,365693,316963,48730
062450,20181231,12,COF,927628,Capital One Financial,6015,3431,,12978,372538,320870,51668
062450,20191231,12,COF,927628,Capital One Financial,5546,28593,,16639,390365,332354,58011
067815,20121231,12,WYNN,1174922,Wynn Resorts Ltd,502.036,5154.284,,1185.718,7276.594,7172.662,-259.037
067815,20131231,12,WYNN,1174922,Wynn Resorts Ltd,728.652,5620.936,,1676.642,8377.03,8244.679,-184.507
067815,20141231,12,WYNN,1174922,Wynn Resorts Ltd,731.554,5433.661,,1098.317,9062.861,8851.77,-28.779
067815,20151231,12,WYNN,1174922,Wynn Resorts Ltd,195.29,4075.883,,572.813,10522.259,10500.414,-111.979
067815,20161231,12,WYNN,1174922,Wynn Resorts Ltd,241.975,4466.297,,970.546,11953.557,11695.676,157.949
067815,20171231,12,WYNN,1174922,Wynn Resorts Ltd,747.181,6306.368,,1876.577,12681.739,11603.389,947.846
067815,20181231,12,WYNN,1174922,Wynn Resorts Ltd,572.43,6717.66,,961.489,13216.269,11401.48,2034.123
070671,20121231,12,WAT,1000697,Waters Corporation,461.443,1843.641,737.614,449.28,3168.15,1700.793,1467.357
070671,20131231,12,WAT,1000697,Waters Corporation,450.003,1904.218,783.456,484.876,3582.629,1819.456,1763.173
070671,20141231,12,WAT,1000697,Waters Corporation,431.62,1989.344,549.121,,3877.934,1983.268,1894.666
070671,20151231,12,WAT,1000697,Waters Corporation,469.053,2042.332,565.63,,4268.677,2209.826,2058.851
070671,20161231,12,WAT,1000697,Waters Corporation,521.503,2167.423,891.453,642.92,4662.059,2360.11,2301.949
070671,20171231,12,WAT,1000697,Waters Corporation,20.311,2309.078,947.067,697.64,5324.354,3090.566,2233.788
070671,20181231,12,WAT,1000697,Waters Corporation,593.794,2419.929,992.564,604.446,3727.426,2160.168,1567.258
070671,20191231,12,WAT,1000697,Waters Corporation,592.198,2406.596,1010.7,643.087,2557.055,2773.336,-216.281
075541,20121231,12,LMT,936468,Lockheed Martin Corp.,2745,47182,42986,1561,38657,38618,39
075541,20131231,12,LMT,936468,Lockheed Martin Corp.,2981,45358,41171,4546,36188,31270,4918
075541,20141231,12,LMT,936468,Lockheed Martin Corp.,3614,45600,31965,3866,37073,33673,3400
075541,20151231,12,LMT,936468,Lockheed Martin Corp.,3605,46132,32006,5101,49128,46031,3097
075541,20161231,12,LMT,936468,Lockheed Martin Corp.,5302,47248,42186,5189,47806,46200,1511
075541,20171231,12,LMT,936468,Lockheed Martin Corp.,2002,51048,45500,6476,46521,47130,-683
075541,20181231,12,LMT,936468,Lockheed Martin Corp.,5046,53762,46488,3138,44876,43427,1394
075541,20191231,12,LMT,936468,Lockheed Martin Corp.,6230,59812,51445,7311,47528,44357,3127
079801,20160331,3,DXC,1688568,DXC Technology,251,7106,5160,802,7736,5704,2032
079801,20170331,3,DXC,1688568,DXC Technology,-123,7607,5549,978,8663,6497,1888
079801,20180331,3,DXC,1688568,DXC Technology,1751,24556,16317,3243,33921,20084,13487
079801,20190331,3,DXC,1688568,DXC Technology,1257,20753,14946,1783,29574,17849,11402
081342,20161231,12,RHI,315213,Robert Half International,343.389,5250.399,3089.723,442.081,1777.971,691.372,1086.599
081342,20171231,12,RHI,315213,Robert Half International,290.584,5266.789,3102.977,452.991,1867.454,762.189,1105.265
