월(Monthly),구  분,대분류,중분류,소분류,사용검사실적
2010-08,충북,단독,다가구,동수,75
2010-08,충북,단독,다가구,가구수,647
2010-08,충북,다세대,다세대,다세대,12
2010-08,충북,연립,연립,연립,0
2010-08,충북,아파트,아파트,아파트,1,495
2010-08,충남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,175
2010-08,충남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,328
2010-08,충남,단독,단독,단독,340
2010-08,충남,단독,다가구,동수,95
2010-08,충남,단독,다가구,가구수,1,248
2010-08,충남,다세대,다세대,다세대,16
2010-08,충남,연립,연립,연립,0
2010-08,충남,아파트,아파트,아파트,724
2010-08,전북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,043
2010-08,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,643
2010-08,전북,단독,단독,단독,189
2010-08,전북,단독,다가구,동수,79
2010-08,전북,단독,다가구,가구수,679
2010-08,전북,다세대,다세대,다세대,7
2010-08,전북,연립,연립,연립,0
2010-08,전북,아파트,아파트,아파트,768
2010-08,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),885
2010-08,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,144
2010-08,전남,단독,단독,단독,362
2010-08,전남,단독,다가구,동수,41
2010-08,전남,단독,다가구,가구수,300
2010-08,전남,다세대,다세대,다세대,10
2010-08,전남,연립,연립,연립,16
2010-08,전남,아파트,아파트,아파트,456
2010-08,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,073
2010-08,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3,010
2010-08,경북,단독,단독,단독,399
2010-08,경북,단독,다가구,동수,104
2010-08,경북,단독,다가구,가구수,1,041
2010-08,경북,다세대,다세대,다세대,2
2010-08,경북,연립,연립,연립,8
2010-08,경북,아파트,아파트,아파트,1,560
2010-08,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),626
2010-08,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,551
2010-08,경남,단독,단독,단독,372
2010-08,경남,단독,다가구,동수,162
2010-08,경남,단독,다가구,가구수,1,087
2010-08,경남,다세대,다세대,다세대,35
2010-08,경남,연립,연립,연립,8
2010-08,경남,아파트,아파트,아파트,49
2010-08,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),105
2010-08,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),140
2010-08,제주,단독,단독,단독,58
2010-08,제주,단독,다가구,동수,8
2010-08,제주,단독,다가구,가구수,43
2010-08,제주,다세대,다세대,다세대,39
2010-08,제주,연립,연립,연립,0
2010-08,제주,아파트,아파트,아파트,0
2010-08,세종,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),
2010-08,세종,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),
2010-08,세종,단독,단독,단독,
2010-08,세종,단독,다가구,동수,
2010-08,세종,단독,다가구,가구수,
2010-08,세종,다세대,다세대,다세대,
2010-08,세종,연립,연립,연립,
2010-08,세종,아파트,아파트,아파트,
2010-09,총계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),18,968
2010-09,총계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),27,916
2010-09,총계,단독,단독,단독,2,941
2010-09,총계,단독,다가구,동수,1,360
2010-09,총계,단독,다가구,가구수,10,308
2010-09,총계,다세대,다세대,다세대,3,135
2010-09,총계,연립,연립,연립,150
2010-09,총계,아파트,아파트,아파트,11,382
2010-09,수도권소계,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),8,928
2010-09,수도권소계,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),10,762
2010-09,수도권소계,단독,단독,단독,662
2010-09,수도권소계,단독,다가구,동수,404
2010-09,수도권소계,단독,다가구,가구수,2,238
2010-09,수도권소계,다세대,다세대,다세대,2,805
2010-09,수도권소계,연립,연립,연립,137
2010-09,수도권소계,아파트,아파트,아파트,4,920
2010-09,서울,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,458
2010-09,서울,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,630
2010-09,서울,단독,단독,단독,114
2010-09,서울,단독,다가구,동수,39
2010-09,서울,단독,다가구,가구수,211
2010-09,서울,다세대,다세대,다세대,1,213
2010-09,서울,연립,연립,연립,27
2010-09,서울,아파트,아파트,아파트,65
2010-09,인천,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),763
2010-09,인천,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,051
2010-09,인천,단독,단독,단독,67
2010-09,인천,단독,다가구,동수,53
